ploidy	2	3	4	5	8	10	13	16	21
SP_0.0482269_ID67035	3.8	4	3	2.9	3	3	3	4	3	3
SP_0.0599114_ID67032	3.5	4	3	3	2	3	2	3	2.9	3
SP_0.0515736_ID67029	3.8	4	3	3	3	3.1	2.9	3.4	3	3
SP_0.119498_ID67027	3.8	4	3	3	3	3	3	3	3	3
SP_0.0439668_ID67031	3.8	4	3	3	2.9	3	3	4	3	3
SP_0.0910802_ID67033	3.8	4	3	3	3	3	3.1	4	3.1	3
SP_0.0678423_ID67030	3.4	4	3	3	2	3	2	3	3	3
SP_0.0958342_ID67036	3.5	4	3	3	2	3	2	3	3	3.1
SP_0.123052_ID67026	3.5	4	3	3	2	2.9	2	3	3	3
SP_0.174007_ID67643	3.8	3	4	3	3	4	3	4	4	2
SP_0.0765992_ID67648	3.7	3	4	3	3	4	3	4	3.8	2
SP_0.157156_ID68492	2.9	3	2	2	3	3	2	3	3	2.9
SP_0.0696672_ID68494	2.9	3	2	2	3	3	2	3	3	3
SP_0.0381534_ID69293	2.7	3	2	2	3	2	4	2	3.3	2
SP_0.177357_ID69291	2.7	3	2	2	3	2	4	2	3.3	1.9
SP_0.0139145_ID69288	2.6	2	2	2	3	2	4	2	3.5	1.8
SP_0.04823_ID69285	2.7	3	2	2	2	2	4	2	3.7	1.9
SP_0.0224244_ID69286	2.7	3	2	2	3	2	3	2	3.7	2
SP_0.037015_ID69284	2.7	3	2	2	2.9	2	4	2	3.9	1.9
SP_0.341567_ID69289	2.7	3	2	2	3	2	4	2	4	1.9
SP_0.0963238_ID69296	2.7	3	2	2	3	2	4	2	3	1.9
SP_0.0549219_ID69283	2.6	3	2	2	2	2	4	2	3	1.9
SP_0.0346304_ID69290	2.7	3	2	2	3	2	4	2	4	1.8
SP_0.484154_ID70431	2.2	3	3	2	2	2	2	2	2	2
SP_0.0459363_ID70435	2.3	3	3	2	2	3	2	2	2	2
SP_0.114011_ID71244	2	2	2	1	2	2	2	2	2	2
SP_0.0156895_ID71245	2	2	2	0.9	2	2	2	2	2	2
SP_0.0599177_ID71242	2.1	2	2	1	2	2	2	2	2.1	2
SP_0.668133_ID73220	2	2	1	2	2	3	2	2	2	1
SP_0.0256921_ID73218	2	2	1	2	1.9	3.2	2	2.1	2	1
SP_0.086471_ID74191	2	2	2	1	2	1	2	2	2	2
SP_0.914143_ID74190	2	2	2	2	2	1	2	2	2	2
