Centroid X µm	Centroid Y µm	karyotype	concentration
57.1999999999989	3.09999999999945	2,2,2	1
69.1999999999989	1.69999999999982	2,2,2	1
97	1	2,2,2	1
109.299999999999	1.59999999999945	2,2,2	1
127.1	0	2,2,2	1
142.199999999999	1.19999999999982	2,2,2	1
171.5	1.69999999999982	2,2,2	1
187.4	1.59999999999945	2,2,2	1
234.9	4.09999999999945	2,2,2	1
262.5	0	2,2,2	1
268.5	1.5	2,2,2	1
308.299999999999	4.29999999999927	2,2,2	1
340.6	0.299999999999272	2,2,2	1
365.299999999999	0.5	2,2,2	1
380.6	4.29999999999927	2,2,2	1
404.9	2.09999999999945	2,2,2	1
435.799999999999	0.199999999999818	2,2,2	1
458.5	2.19999999999982	2,2,2	1
507.299999999999	1.09999999999945	2,2,2	1
522	1.39999999999964	2,2,2	1
531.299999999999	2.5	2,2,2	1
575.9	1.89999999999964	2,2,2	1
588.799999999999	1	2,2,2	1
641.4	5.29999999999927	2,2,2	1
648.9	0.699999999999818	2,2,2	1
654.5	1.19999999999982	2,2,2	1
663.299999999999	0.399999999999636	2,2,2	1
675.699999999999	2.29999999999927	2,2,2	1
686.299999999999	2.69999999999982	2,2,2	1
695.9	1.19999999999982	2,2,2	1
718.6	3.79999999999927	2,2,2	1
731.4	3	2,2,2	1
739	2.69999999999982	2,2,2	1
746.9	3.29999999999927	2,2,2	1
756.1	1.19999999999982	2,2,2	1
785.5	2.59999999999945	2,2,2	1
802.4	1.69999999999982	2,2,2	1
847.5	1.59999999999945	2,2,2	1
869.4	5.89999999999964	2,2,2	1
898.5	1.39999999999964	2,2,2	1
11	3.89999999999964	2,2,2	1
133.699999999999	2	2,2,2	1
214.9	4	2,2,2	1
372.799999999999	2.29999999999927	2,2,2	1
495.5	1.29999999999927	2,2,2	1
598	2.59999999999945	2,2,2	1
608.299999999999	2.29999999999927	2,2,2	1
626.9	1.29999999999927	2,2,2	1
814	2	2,2,2	1
823.9	4.19999999999982	2,2,2	1
292.1	1.59999999999945	2,2,2	1
317.9	4.59999999999945	2,2,2	1
834.699999999999	3.89999999999964	2,2,2	1
259.1	4.69999999999982	2,2,2	1
429.699999999999	3.79999999999927	2,2,2	1
516.6	3.69999999999982	2,2,2	1
856.799999999999	3.5	2,2,2	1
26.1999999999989	3.39999999999964	2,2,2	1
157.4	3.79999999999927	2,2,2	1
327.299999999999	5.19999999999982	2,2,2	1
354.699999999999	1.79999999999927	2,2,2	1
391	4.5	2,2,2	1
634.799999999999	3	2,2,2	1
300.699999999999	2.79999999999927	2,2,2	1
48.1999999999989	4.09999999999945	2,2,2	1
85.5	4	2,2,2	1
412.199999999999	4.59999999999945	2,2,2	1
75.6999999999989	5.29999999999927	2,2,2	1
204.799999999999	5.69999999999982	2,2,2	1
446.6	2.79999999999927	2,2,2	1
658.699999999999	8.79999999999927	2,2,2	1
124.699999999999	5	2,2,2	1
250.5	2.39999999999964	2,2,2	1
344.6	4.59999999999945	2,2,2	1
399.1	7.19999999999982	2,2,2	1
273.4	6.69999999999982	2,2,2	1
282.1	4.69999999999982	2,2,2	1
419.6	5.39999999999964	2,2,2	1
545.6	3.79999999999927	2,2,2	1
707.5	6.29999999999927	2,2,2	1
505.5	9	2,2,2	1
580.9	8.79999999999927	2,2,2	1
617	7.39999999999964	2,2,2	1
555.699999999999	4.29999999999927	2,2,2	1
100.799999999999	7.19999999999982	2,2,2	1
246.4	7.5	2,2,2	1
364.4	6	2,2,2	1
461.5	7.89999999999964	2,2,2	1
470.699999999999	7	2,2,2	1
650.299999999999	8	2,2,2	1
36.2999999999993	11.2999999999993	2,2,2	1
42.6999999999989	7.19999999999982	2,2,2	1
115.5	6.89999999999964	2,2,2	1
180.6	7.39999999999964	2,2,2	1
481.5	5.5	2,2,2	1
498.6	9.19999999999982	2,2,2	1
628.6	9.5	2,2,2	1
696.4	7.29999999999927	2,2,2	1
754.9	8.79999999999927	2,2,2	1
794.9	10.3999999999996	2,2,2	1
196.299999999999	6.59999999999945	2,2,2	1
372.199999999999	10	2,2,2	1
590.5	8.79999999999927	2,2,2	1
133.6	10	2,2,2	1
139.9	9.09999999999945	2,2,2	1
264.299999999999	13.0999999999995	2,2,2	1
289.199999999999	9.59999999999945	2,2,2	1
296.5	9.39999999999964	2,2,2	1
440.299999999999	9.69999999999982	2,2,2	1
841.799999999999	9.29999999999927	2,2,2	1
333.199999999999	10.6999999999998	2,2,2	1
355.9	11.5	2,2,2	1
491	10.2999999999993	2,2,2	1
526.699999999999	12.5	2,2,2	1
603.799999999999	10.0999999999995	2,2,2	1
767.5	9.29999999999927	2,2,2	1
514.799999999999	10.6999999999998	2,2,2	1
539	10.8999999999996	2,2,2	1
673.1	11.6999999999998	2,2,2	1
807.299999999999	11.2999999999993	2,2,2	1
18.7999999999993	10.2999999999993	2,2,2	1
172	11	2,2,2	1
344.6	12.0999999999995	2,2,2	1
817.6	11.5	2,2,2	1
81.6000000000004	15	2,2,2	1
226.199999999999	10.7999999999993	2,2,2	1
549.5	13.1999999999998	2,2,2	1
682.199999999999	13.7999999999993	2,2,2	1
728.299999999999	9.59999999999945	2,2,2	1
66	13	2,2,2	1
425.9	15	2,2,2	1
111.1	13.6999999999998	2,2,2	1
145.799999999999	12.7999999999993	2,2,2	1
188.799999999999	13	2,2,2	1
255.699999999999	12.7999999999993	2,2,2	1
365	12.6999999999998	2,2,2	1
449.699999999999	13.3999999999996	2,2,2	1
559.299999999999	12.3999999999996	2,2,2	1
123.6	14.5	2,2,2	1
234	13.5	2,2,2	1
381	14.3999999999996	2,2,2	1
480.5	18.1999999999998	2,2,2	1
695.6	13.3999999999996	2,2,2	1
646.6	15.2999999999993	2,2,2	1
777.9	13.7999999999993	2,2,2	1
200.199999999999	13.7999999999993	2,2,2	1
410	15.7999999999993	2,2,2	1
740.1	11.3999999999996	2,2,2	1
397.5	15.5999999999995	2,2,2	1
594.799999999999	18	2,2,2	1
733.6	14.6999999999998	2,2,2	1
302.1	15.0999999999995	2,2,2	1
665	14.7999999999993	2,2,2	1
726.699999999999	17.8999999999996	2,2,2	1
747.799999999999	15.6999999999998	2,2,2	1
99.7999999999993	15.5	2,2,2	1
281.699999999999	15.5999999999995	2,2,2	1
311.5	15.7999999999993	2,2,2	1
568.9	13.6999999999998	2,2,2	1
215.199999999999	13.6999999999998	2,2,2	1
247.4	15.6999999999998	2,2,2	1
459.699999999999	15.5	2,2,2	1
787.1	16.8999999999996	2,2,2	1
827.6	14.7999999999993	2,2,2	1
291.299999999999	16.1999999999998	2,2,2	1
606.9	17.1999999999998	2,2,2	1
716.5	15.5	2,2,2	1
894.4	16	2,2,2	1
10.8999999999996	19.2999999999993	2,2,2	1
