ploidy	polymerase_epsilon_delta	state	cellLine
S.SNU-16.2170	4.93606869006514	2.48484848484848	S	SNU-16
S.SNU-16.2169	5.09994582070386	2.17769607843137	S	SNU-16
G0G1.SNU-16.2170	3.76347853365256	1.75347222222222	G0G1	SNU-16
G0G1.SNU-16.2169	3.80030032810794	1.60384615384615	G0G1	SNU-16
S.MKN-45.2157	2.79409177876089	1.0078125	S	MKN-45
S.MKN-45.2158	2.86028745451502	1.00139751552795	S	MKN-45
G0G1.MKN-45.2157	1.80199394661284	0.938333333333333	G0G1	MKN-45
G0G1.MKN-45.2158	1.82640488085973	0.748532863849766	G0G1	MKN-45
S.NUGC-4.2167	3.80421657879314	1.38265306122449	S	NUGC-4
S.NUGC-4.2165	2.98321868987022	1.36091370558376	S	NUGC-4
S.NUGC-4.2166	3.31234228689613	1.8125	S	NUGC-4
G0G1.NUGC-4.2167	2.48751912122091	0.936363636363636	G0G1	NUGC-4
G0G1.NUGC-4.2165	2.41261334247373	0.825772200772201	G0G1	NUGC-4
G0G1.NUGC-4.2166	2.43172052765564	0.80987004950495	G0G1	NUGC-4
S.SNU-638.2186	3.34419785892574	1.125	S	SNU-638
S.SNU-638.2185	3.29528742679073	1.20625	S	SNU-638
G0G1.SNU-638.2186	2.09511671898545	0.653328611898016	G0G1	SNU-638
G0G1.SNU-638.2184	2.10955872571306	0.951612903225807	G0G1	SNU-638
G0G1.SNU-638.2185	2.11407072388886	0.6685	G0G1	SNU-638
S.KATOIII.2154	4.61616045135557	3.15867992766727	S	KATOIII
S.KATOIII.2153	4.1941600035779	2.77678571428571	S	KATOIII
S.KATOIII.2155	4.62654300075324	2.875	S	KATOIII
G0G1.KATOIII.2152	3.63181532303247	2.93821292775666	G0G1	KATOIII
G0G1.KATOIII.2154	3.63844029694733	3.39642857142857	G0G1	KATOIII
G0G1.KATOIII.2153	3.69056727330139	2.9713687150838	G0G1	KATOIII
G0G1.KATOIII.2155	3.62766287211873	3.03350515463917	G0G1	KATOIII
S.NCI-N87.2162	2.67111967478384	0.804203539823009	S	NCI-N87
S.NCI-N87.2160	2.59774367873434	0.91846361185984	S	NCI-N87
G0G1.NCI-N87.2162	1.86617896522951	0.595720720720721	G0G1	NCI-N87
G0G1.NCI-N87.2163	1.87162570463169	0.643939393939394	G0G1	NCI-N87
G0G1.NCI-N87.2160	1.85381654066271	0.44205412907703	G0G1	NCI-N87
G0G1.NCI-N87.2161	1.9107038342487	0.906976744186047	G0G1	NCI-N87
S.HGC-27.2209	3.5844110002816	2.85187224669603	S	HGC-27
S.HGC-27.2207	3.56920989662079	2.95833333333333	S	HGC-27
S.HGC-27.2210	3.55124130054962	3.31112132352941	S	HGC-27
S.HGC-27.2208	3.48420713767762	3.26261467889908	S	HGC-27
G0G1.HGC-27.2209	3.00617382607287	2.40202702702703	G0G1	HGC-27
G0G1.HGC-27.2207	3.03136175599611	2.02222222222222	G0G1	HGC-27
G0G1.HGC-27.2210	3.05144874286136	2.32021103896104	G0G1	HGC-27
