ploidy	7	10
T98G_CENTRAL_NERVOUS_SYSTEM	3	3.2	2.3
LN18_CENTRAL_NERVOUS_SYSTEM	3	2.5	2.5
U118MG_CENTRAL_NERVOUS_SYSTEM	2	2.1	2.5
U87MG_CENTRAL_NERVOUS_SYSTEM	2	2.1	2
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	4	5.2	3.4
SF295_CENTRAL_NERVOUS_SYSTEM	3	2.9	2.9
KELLY_AUTONOMIC_GANGLIA	2	2	1.2
GAMG_CENTRAL_NERVOUS_SYSTEM	3	3.3	2
42MGBA_CENTRAL_NERVOUS_SYSTEM	4	4.3	4
KS1_CENTRAL_NERVOUS_SYSTEM	3	2.6	3.3
GMS10_CENTRAL_NERVOUS_SYSTEM	3	3.8	2.4
8MGBA_CENTRAL_NERVOUS_SYSTEM	2	1.8	1.8
GI1_CENTRAL_NERVOUS_SYSTEM	4	4.6	3.8
YKG1_CENTRAL_NERVOUS_SYSTEM	3	3	2.8
U251MG_CENTRAL_NERVOUS_SYSTEM	2	2.6	0.9
DKMG_CENTRAL_NERVOUS_SYSTEM	2	2.2	2.2
DAOY_CENTRAL_NERVOUS_SYSTEM	4	3.8	3.1
D283MED_CENTRAL_NERVOUS_SYSTEM	2	2.1	2
H4_CENTRAL_NERVOUS_SYSTEM	3	3	3
SKNAS_AUTONOMIC_GANGLIA	2	2.1	2
NMCG1_CENTRAL_NERVOUS_SYSTEM	2	1.9	1.9
CAS1_CENTRAL_NERVOUS_SYSTEM	4	4.6	4.5
KNS42_CENTRAL_NERVOUS_SYSTEM	3	3.8	2.9
YH13_CENTRAL_NERVOUS_SYSTEM	2	2	1.9
SKNFI_AUTONOMIC_GANGLIA	2	3	1.3
A172_CENTRAL_NERVOUS_SYSTEM	3	2.7	3.5
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	4	4.1	4.3
SKNDZ_AUTONOMIC_GANGLIA	4	4.3	4.2
LN229_CENTRAL_NERVOUS_SYSTEM	4	4.5	3.3
KALS1_CENTRAL_NERVOUS_SYSTEM	3	3.7	3.1
AM38_CENTRAL_NERVOUS_SYSTEM	3	2.8	1.9
GB1_CENTRAL_NERVOUS_SYSTEM	3	3	3.2
BECKER_CENTRAL_NERVOUS_SYSTEM	3	3.2	3.4
SF126_CENTRAL_NERVOUS_SYSTEM	2	2	2.1
ONS76_CENTRAL_NERVOUS_SYSTEM	3	2.6	2.7
SW1088_CENTRAL_NERVOUS_SYSTEM	5	3.7	4.5
SW1783_CENTRAL_NERVOUS_SYSTEM	5	4.2	4.4
NB1_AUTONOMIC_GANGLIA	2	2.3	1.2
MHHNB11_AUTONOMIC_GANGLIA	2	1.9	1.8
SNB75_CENTRAL_NERVOUS_SYSTEM	3	2.8	2.2
SF539_CENTRAL_NERVOUS_SYSTEM	3	3.3	2.1
SF268_CENTRAL_NERVOUS_SYSTEM	2	2.2	1.6
