ploidy	5	9	13	14	20
T98G_CENTRAL_NERVOUS_SYSTEM	3	3.5	3.5	4.3	3.6	3.8
LN18_CENTRAL_NERVOUS_SYSTEM	3	2.6	3.4	4	3.4	4.2
U118MG_CENTRAL_NERVOUS_SYSTEM	2	1.5	1.9	2.7	2.1	2.6
U87MG_CENTRAL_NERVOUS_SYSTEM	2	3.1	2.1	2.9	2.1	2.2
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	4	5.3	4.2	6.1	7.1	5.5
SF295_CENTRAL_NERVOUS_SYSTEM	3	3.3	4.8	2.9	4.1	4.9
KELLY_AUTONOMIC_GANGLIA	2	2	2.8	2	2	2.9
GAMG_CENTRAL_NERVOUS_SYSTEM	3	2.2	3.3	4.3	3.2	4.1
42MGBA_CENTRAL_NERVOUS_SYSTEM	4	2.9	3.2	5.6	5.7	4.9
KS1_CENTRAL_NERVOUS_SYSTEM	3	2.7	3.4	3.4	3.4	3.4
GMS10_CENTRAL_NERVOUS_SYSTEM	3	2.1	3.5	4.7	2.9	2.2
8MGBA_CENTRAL_NERVOUS_SYSTEM	2	1.8	1.8	2.5	2.3	1.8
GI1_CENTRAL_NERVOUS_SYSTEM	4	5.6	5.1	4.6	3.8	5.6
YKG1_CENTRAL_NERVOUS_SYSTEM	3	2.3	3.6	3.8	3.2	4.5
U251MG_CENTRAL_NERVOUS_SYSTEM	2	1.6	2.6	1.9	1.6	2.8
DKMG_CENTRAL_NERVOUS_SYSTEM	2	1	2.1	2.2	2.2	3.4
DAOY_CENTRAL_NERVOUS_SYSTEM	4	3	4.7	3.5	5.5	7.8
D283MED_CENTRAL_NERVOUS_SYSTEM	2	2	3.1	2	2	1
H4_CENTRAL_NERVOUS_SYSTEM	3	1.9	4	3	3.8	3.8
SKNAS_AUTONOMIC_GANGLIA	2	2.1	3.1	2.1	2.1	2.1
NMCG1_CENTRAL_NERVOUS_SYSTEM	2	1.9	1.9	2.8	2.7	3.6
CAS1_CENTRAL_NERVOUS_SYSTEM	4	4.3	6.3	6.5	3.9	6.4
KNS42_CENTRAL_NERVOUS_SYSTEM	3	3.2	3.9	2.9	2	4.2
YH13_CENTRAL_NERVOUS_SYSTEM	2	2	2.2	1.7	2.3	3.5
SKNFI_AUTONOMIC_GANGLIA	2	2.9	1.9	2	1.9	2
A172_CENTRAL_NERVOUS_SYSTEM	3	2.7	3.5	3.6	4.3	4.4
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	4	4.1	4.1	4.1	4.1	5.7
SKNDZ_AUTONOMIC_GANGLIA	4	4	5.1	5.9	3.3	4.3
LN229_CENTRAL_NERVOUS_SYSTEM	4	3.4	5.3	6.2	4.1	5.9
KALS1_CENTRAL_NERVOUS_SYSTEM	3	2.1	2.1	3.1	3.3	3.2
AM38_CENTRAL_NERVOUS_SYSTEM	3	2	3.5	2.9	2.2	2.7
GB1_CENTRAL_NERVOUS_SYSTEM	3	2.3	3.8	4.8	4.2	3.2
BECKER_CENTRAL_NERVOUS_SYSTEM	3	2.4	4.1	3.5	2.2	4.3
SF126_CENTRAL_NERVOUS_SYSTEM	2	1.1	2.1	1.9	2.1	2.1
ONS76_CENTRAL_NERVOUS_SYSTEM	3	2	3.9	5	2.7	4.4
SW1088_CENTRAL_NERVOUS_SYSTEM	5	4.1	4.5	7.3	5.7	8.3
SW1783_CENTRAL_NERVOUS_SYSTEM	5	6.8	5.6	5.8	5.5	7.2
NB1_AUTONOMIC_GANGLIA	2	2.7	1.8	2.3	1.7	2.3
MHHNB11_AUTONOMIC_GANGLIA	2	2.3	1.4	2.3	1.8	2.3
SNB75_CENTRAL_NERVOUS_SYSTEM	3	3.8	2.6	3.6	4.4	3.5
SF539_CENTRAL_NERVOUS_SYSTEM	3	4.4	2.7	3.7	2.7	2.6
SF268_CENTRAL_NERVOUS_SYSTEM	2	1.7	2	2.8	2.5	2.4
