G0G1	apoptotic	S	noncycling	cellLine	Identity	GenomePerspective	S_Duration_hours
HGC-27.68489	0.689903846153846	0.657718120805369	0.72992700729927	0.68141592920354	HGC-27	2210	68489	8.79216440111676
HGC-27.68490	0.0625	0.154362416107383	0.102189781021898	0.0867256637168142	HGC-27	2209	68490	9.19578745811393
HGC-27.68492	0.170673076923077	0.0939597315436242	0.109489051094891	0.150442477876106	HGC-27	2207	68492	7.16078528827038
HGC-27.68494	0.0769230769230769	0.0939597315436242	0.0583941605839416	0.0814159292035398	HGC-27	2208	68494	7.10035113657365
MKN-45.74190	0.912045889101338	0.890243902439024	0.835227272727273	0.909090909090909	MKN-45	2158	74190	11.4918566775244
MKN-45.74191	0.0879541108986616	0.109756097560976	0.164772727272727	0.0909090909090909	MKN-45	2157	74191	15.4666666666667
SNU-16.67028	0.454545454545455	0.241379310344828	0.473684210526316	0.36986301369863	SNU-16	2169	67028	15.1615384615385
SNU-16.67033	0.545454545454545	0.758620689655172	0.526315789473684	0.63013698630137	SNU-16	2170	67033	12.288029925187
KATOIII.67643	0.241071428571429	0.395833333333333	0.25	0.275462962962963	KATOIII	2152	67643	15.2246696035242
KATOIII.67644	0.601190476190476	0.333333333333333	0.514285714285714	0.541666666666667	KATOIII	2153	67644	15.5851183765502
KATOIII.67648	0.107142857142857	0.21875	0.142857142857143	0.131944444444444	KATOIII	2155	67648	16.6353790613718
KATOIII.67649	0.0505952380952381	0.0520833333333333	0.0928571428571429	0.0509259259259259	KATOIII	2154	67649	20.6660533578657
NUGC-4.70431	0.528896672504378	0.222222222222222	0.402777777777778	0.494556765163297	NUGC-4	2165	70431	16.1589678164793
NUGC-4.70432	0.42031523642732	0.694444444444444	0.458333333333333	0.451010886469673	NUGC-4	2166	70432	18.144944060429
NUGC-4.70435	0.0507880910683012	0.0833333333333333	0.138888888888889	0.0544323483670296	NUGC-4	2167	70435	25.863687150838
NCI-N87.73218	0.0269503546099291	0.024390243902439	0.00529100529100529	0.0266836086404066	NCI-N87	2161	73218	7.77733389402859
NCI-N87.73219	0.263829787234043	0.304878048780488	0.232804232804233	0.268106734434562	NCI-N87	2162	73219	21.8437999114177
NCI-N87.73220	0.665248226950355	0.621951219512195	0.724867724867725	0.660736975857687	NCI-N87	2160	73220	24.5876641808063
NCI-N87.73221	0.0439716312056738	0.0487804878048781	0.037037037037037	0.0444726810673443	NCI-N87	2163	73221	21.3562355658199
SNU-638.72506	0.627314814814815	0.639175257731959	0.402597402597403	0.629489603024575	SNU-638	2186	72506	22.6246907706946
SNU-638.72508	0.259259259259259	0.22680412371134	0.415584415584416	0.253308128544423	SNU-638	2184	72508	36.0355281509212
SNU-638.72509	0.113425925925926	0.134020618556701	0.181818181818182	0.117202268431002	SNU-638	2185	72509	35.2666666666667
SNU-668.69283	0.0932835820895522	0.185714285714286	0.0769230769230769	0.103960396039604	SNU-668	2194	69283	31.4694736842105
SNU-668.69284	0.0634328358208955	0.1	0.0641025641025641	0.0676567656765677	SNU-668	2192	69284	36.0019267822736
SNU-668.69285	0.082089552238806	0.1	0.0641025641025641	0.0841584158415842	SNU-668	2190	69285	31.9948630136986
SNU-668.69286	0.0391791044776119	0.1	0.0512820512820513	0.0462046204620462	SNU-668	2191	69286	38.9270833333333
SNU-668.69288	0.0242537313432836	0.0714285714285714	0.0512820512820513	0.0297029702970297	SNU-668	2189	69288	46.858934169279
SNU-668.69289	0.572761194029851	0.171428571428571	0.179487179487179	0.526402640264026	SNU-668	2193	69289	18.8160402805251
SNU-668.69290	0.0597014925373134	0.214285714285714	0.397435897435897	0.0775577557755776	SNU-668	2195	69290	61.9171566007483
SNU-668.69293	0.0652985074626866	0.0571428571428571	0.115384615384615	0.0643564356435644	SNU-668	2188	69293	47.5042372881356
