2157	2158
1:840001-25880000	2	2.0063025210084
1:25980001-27180000	1.21777777777778	1.34572829131653
1:27280001-90500000	2	2.00210084033613
1:90660001-121560000	1	1
1:147000001-150440000	2.04906204906205	2.04523627632871
1:150780001-219540000	2	2.00210084033613
1:219780001-248900000	1	1.00210084033613
2:1-50580000	1	1
2:50760001-242040000	2	2
3:1-197920000	2	2.01050420168067
4:100001-25880000	1	1
4:26040001-27640000	1.83347763347763	1.9224326094074
4:27800001-44700000	1	1
4:44840001-46700000	1.93715651135006	1.90794704978766
4:47280001-102040000	1	1.00210084033613
4:102240001-104040000	1.93560606060606	1.99178762414057
4:104180001-105980000	2.60127713920817	2.58659325799285
4:107120001-180080000	1	2.00210084033613
4:180220001-181760000	0.137719298245614	1.09381910659
4:181920001-188120000	1.04444444444444	2.01050420168067
4:188120001-1.9e+08	1.01044176706827	1.96701933785562
5:100001-35460000	2.95555555555556	2.9936974789916
5:35640001-55740000	2	2.00420168067227
5:55880001-58960000	2.96103703703704	2.93987394957983
5:59160001-69500000	2	2.00210084033613
5:71840001-72860000	2.19738562091503	2.13041687263141
5:74000001-181260000	2	2.00210084033613
6:140001-67580000	2	2.00210084033613
6:67780001-72400000	1.015732546706	1.01130363649885
6:72580001-7.5e+07	1.97124183006536	2.00478426664784
6:76220001-77980000	2.8457671957672	2.94790416166467
6:78180001-139780000	1	1
6:139900001-142420000	2.93204775022957	2.93961386207376
6:142560001-147600000	2	1.99789915966387
6:148000001-170520000	1	1
7:120001-7400000	1.97777777777778	2.00210084033613
7:8360001-9700000	2.57675213675214	1.97773109243697
7:9840001-55720000	2.95555555555556	2.98109243697479
7:56420001-64680000	3	3.02731092436975
7:65780001-66780000	4.50929705215419	4.62111987652204
7:66960001-68700000	4.09777777777778	4.19375
7:69140001-70500000	1.05656565656566	1.05344410491469
7:70640001-113580000	2.02222222222222	1.99789915966387
7:114920001-1.16e+08	8.49308176100629	8.43657840494688
7:122460001-123800000	1.98013468013468	1.95776037687802
7:123940001-150760000	1	1.00420168067227
7:150920001-159200000	2.02222222222222	2.00420168067227
8:260001-89200000	0.977777777777778	1
8:89380001-144900000	2	1.9936974789916
9:240001-20960000	1	1
9:21020001-22200000	0.0455743879472693	0.0504201680672269
9:22260001-125880000	1	0.995798319327731
9:126040001-133660000	2	2.00840336134454
9:133880001-138040000	3.19086908690869	3.09265537898328
10:100001-8460000	1	0.997899159663866
10:8640001-133480000	2	1.99789915966387
11:260001-24060000	1	1
11:24140001-25200000	3.23442265795207	4.02867029164607
11:25260001-26600000	3.97470085470085	4.65349062702004
11:28640001-29760000	2.00606060606061	2.06042780748663
11:29920001-65380000	2	2.00210084033613
11:65580001-76020000	3	3.04621848739496
11:79340001-80980000	1.01865569272977	0.999818445896877
11:83400001-85440000	2.81533333333333	2.81449579831933
11:90580001-92300000	6.44867724867725	7.17982192877151
11:93820001-95120000	3.98800705467372	3.9608843537415
11:97440001-98960000	3.46345029239766	4.71005639097744
11:99040001-114680000	1	0.997899159663866
11:114760001-135040000	2.88888888888889	3.01050420168067
12:60001-34560000	3	2.97268907563025
12:37340001-64260000	2	1.99789915966387
12:64440001-66720000	3.08181818181818	3.04117647058824
12:67740001-74620000	3.97777777777778	3.97478991596639
12:74740001-77540000	2.02595296025953	1.99221002269521
12:80680001-115140000	1	1.00210084033613
12:115340001-133240000	2.02222222222222	2.00210084033613
13:18680001-82260000	2.02222222222222	1.98949579831933
13:82800001-91100000	1.97777777777778	1.92436974789916
13:91460001-94280000	2.97323600973236	2.9031466601239
13:94280001-102700000	3.02222222222222	2.97058823529412
13:102820001-105120000	2.03130434782609	2.04442820606503
13:105300001-114320000	3.04444444444444	2.97478991596639
14:20000001-60140000	2	1.99579831932773
14:60260001-61800000	2.62637037037037	2.5784593837535
14:61940001-106860000	2	1.98949579831933
15:17000001-19940000	1.96944444444444	1.98424369747899
15:22780001-41440000	1.95555555555556	2.00210084033613
15:41660001-60440000	1.73333333333333	1.01890756302521
15:60640001-101820000	2.73333333333333	2.02100840336134
16:320001-5780000	1	0.997899159663866
16:7300001-74620000	2	2
16:75160001-76880000	2.00549019607843	1.97301038062284
16:77000001-89600000	1	1.0063025210084
17:200001-1720000	1.22465277777778	1.9523043592437
17:1720001-11880000	2	2
17:12100001-13140000	1.12549019607843	1.22297742626462
17:13240001-83180000	2	2
18:120001-40360000	2	2.00210084033613
18:40540001-69660000	1	0.997899159663866
18:69860001-76020000	2	1.9936974789916
18:76180001-80160000	2.23025014543339	3.00005499582032
19:300001-6300000	2.08888888888889	2.04621848739496
19:6500001-8100000	1.06724386724387	1.08138710029466
19:8360001-58480000	2.04444444444444	2
20:140001-3880000	1.0314511232544	1.02903292464527
20:4020001-5460000	2.06603174603175	1.97355942376951
20:5620001-10320000	1.02491582491582	1.0251009494707
20:10600001-12180000	1.98037518037518	1.97806395285387
20:12520001-22060000	1	1.00210084033613
20:22220001-26320000	2.02245737801293	2.00586901427238
20:29320001-30980000	2.24444444444444	2.99851705388038
20:31140001-64220000	2.22222222222222	2.97689075630252
21:7900001-10720000	6.96148148148148	5.96610644257703
21:13420001-27200000	1.57777777777778	0.995798319327731
21:27360001-46660000	2	1.98739495798319
22:10700001-12600000	2.24814814814815	2.17226890756303
22:16040001-17860000	1.21543209876543	1.98640289449113
22:18040001-50620000	1	1.00210084033613
