2186	2184	2185
1:840001-248900000	2	2	2
2:1-76980000	1.99259259259259	2	2
2:77100001-81740000	2.93126843657817	2.91365701985171	2.9662610619469
2:81900001-184060000	2	2	2
2:184240001-241940000	3	2.98198198198198	3
3:40001-198080000	2	2	2
4:60001-1.9e+08	2	2	2
5:1-46400000	2.00740740740741	2	3
5:50140001-181260000	2	2	2
6:140001-170580000	2	2	2
7:20001-159300000	2	2	2
8:200001-145020000	2	2	2
9:220001-15860000	2.98888888888889	3	3
9:16040001-138100000	2	2	2
10:40001-133500000	2	2.00900900900901	2
11:200001-134900000	3	3	3
12:120001-133240000	2	2	2
13:15980001-114320000	2	1.99099099099099	2
14:19720001-96060000	1.99259259259259	2	2
14:96960001-106800000	1	1	1
15:17040001-19920000	1.99259259259259	1.86486486486486	1.79166666666667
15:22240001-101840000	2	2	2
16:20001-31920000	1.9962962962963	1.99099099099099	2
16:34580001-36160000	1.41851851851852	1.26526526526527	1.18981481481482
16:46400001-90060000	1.9962962962963	1.99099099099099	2
17:120001-21860000	1.98518518518519	2	1.97916666666667
17:26760001-73760000	3.0037037037037	4.01801801801802	3.10416666666667
17:73780001-83080000	2.91481481481481	2.04504504504505	2.91666666666667
18:160001-80240000	1.9962962962963	2	2
19:240001-58560000	2	2	2
20:40001-64240000	2	2	2
21:7900001-10420000	4.9362962962963	5.17297297297297	5.16666666666667
21:13420001-46660000	2	2	2
22:10700001-12620000	2.13472222222222	2.13063063063063	2.16927083333333
22:16020001-50620000	2	2	2
