2209	2207	2210	2208
1:840001-12760000	1.63484248324881	1.43417366946779	1.86727632229362	1.89106468275384
1:15180001-33480000	1.38686202448463	1.1767955801105	1.59530386740331	1.56627299913832
1:33660001-43880000	2.08897760646109	2.07638888888889	2.33720128676471	2.29778287461774
1:44120001-70960000	1.75917767988253	1.77777777777778	1.98385416666667	1.98088685015291
1:72840001-121500000	1.55438654044428	1.71099290780142	1.7816802252816	1.76908061682608
1:148240001-189140000	1.92543023947076	2.31372549019608	2.54290911866477	2.4764610647281
1:198880001-246260000	1.66233793348226	2.11690363349131	2.23245400055757	2.18374711943998
2:3900001-31800000	1.49855039722881	1.71509971509972	1.75889265962795	1.72437857758959
2:52360001-84560000	2.49693017447709	2.77952755905512	2.74041801760074	2.77671025066821
2:96080001-140380000	1.69747174870714	1.94444444444444	1.88192668371697	1.86604174976732
2:141260001-170980000	1.15712187958884	1.65	1.3984068627451	1.3677370030581
2:171260001-242020000	1.67491056381752	1.97874720357942	1.85732086458745	1.86894279908873
3:3720001-28120000	1.52888184923031	1.62921348314607	1.71021976206213	1.73044016080816
3:28620001-88940000	1.18343266822147	1.27450980392157	1.34672722029988	1.33254182406908
3:112940001-162780000	1.01660071181463	1.13370998116761	1.18268112329678	1.1792878245996
4:3400001-49040000	1.03294591808042	1.18794326241135	1.13747653316646	1.15371852430217
4:51920001-90200000	1.78822503671072	2.01736111111111	2.03649662990196	2.01471712538226
4:93740001-152940000	1.5009529165495	1.67139479905437	1.67399353358365	1.6282777018674
4:153540001-189980000	1.48822064738556	1.57971014492754	1.66874467178176	1.63874484775961
5:1060001-46320000	2.23429167632738	2.62280701754386	2.45738196594427	2.46378561081603
5:50360001-164980000	1.88825071097976	2.08270042194093	2.10746463142219	2.06856346533504
6:16520001-57420000	1.57032524135345	1.59432624113475	1.72974030037547	1.71606480577786
6:61520001-170500000	1.26847025591015	1.39058524173028	1.44552649303996	1.44365851950417
7:4980001-43740000	2.96035242290749	3.07511737089202	3.27653790389395	3.22076495671275
7:85160001-129520000	1.61372481929772	1.63754045307443	1.85802755568247	1.82617796383718
7:148380001-158560000	1.27204448617029	1.21311475409836	1.43563162970106	1.47661302451496
8:4200001-96220000	1.46379405286344	1.625	1.66834214154412	1.66657110091743
9:280001-25460000	2.09778008119547	2.08496732026144	2.29829873125721	2.2475265335492
9:78320001-112380000	2.08683232378855	2.35677083333333	2.34897748161765	2.33500573394495
9:119320001-138020000	1.53277814656126	1.68949771689498	1.70511012624228	1.69565581668133
10:12440001-39540000	1.89299931001539	2.24899598393574	2.13700389794472	2.12003979219631
10:55480001-82280000	2.00585986202311	2.20754716981132	2.30365566037736	2.22303963995153
10:102800001-133440000	1.04458312938489	1.1141975308642	1.23114106753813	1.18875297315664
11:260001-55580000	1.73482893128141	1.92070484581498	1.97233739310702	1.93889180778402
11:58040001-79760000	2.1714879147753	2.20659062103929	2.40916461641691	2.37464680643248
11:99300001-128720000	1.49845486225261	1.69402985074627	1.66242317822651	1.64514583048062
12:220001-34520000	1.63457353643649	1.84939759036145	1.8240388022679	1.79540179064883
12:40080001-57280000	2.94767799571777	2.78398510242086	3.23979214590864	3.20291117830967
12:57480001-133240000	1.47100737752773	1.64457831325301	1.66111135719348	1.6590858848237
13:25160001-93940000	2.02562511633679	2.40140845070423	2.25031068765534	2.23304044450187
14:19860001-39620000	1.72985647292881	1.78763440860215	2.01509131878558	1.99171352471145
14:48780001-73460000	2.06575297764725	2.22222222222222	2.34414488017429	2.33374108053007
14:73700001-105800000	2.52777057959748	2.84313725490196	2.81694540561323	2.84217784973317
15:23360001-101840000	1.5351389568717	1.68641975308642	1.77436456063907	1.35995016423151
16:7280001-30640000	1.56285076338181	1.60045662100457	1.80197421434327	1.73696116626869
16:51700001-90060000	1.52651397444568	1.80912863070539	1.7200237979009	1.65152841752636
17:7960001-18980000	1.42837004405286	1.48444444444445	1.55955882352941	1.59938837920489
