2186	2184	2185
1:840001-248900000	2	2	2
2:1-76980000	2.0056657223796	2	2
2:81900001-184060000	2	2	2.004
2:184240001-241940000	2.9971671388102	3	3
3:40001-198080000	2	2	2
4:60001-1.9e+08	2	2	2
5:1-46400000	2.0028328611898	2.58064516129032	3
5:50140001-181260000	2	1.96774193548387	2
6:140001-170580000	2	2	2
7:20001-159300000	2	2	2
8:200001-145020000	2	2	2
9:16040001-138100000	2	2	2
10:40001-133500000	2	2	2
11:200001-134900000	3	3	3
12:120001-133240000	2.0028328611898	2	2
13:15980001-114320000	2	2	2
14:19720001-96060000	2	2	2
15:22240001-101840000	2	2	2
16:20001-31920000	2	2	2
16:46400001-90060000	2	2	2
17:120001-21860000	1.98016997167139	1.96774193548387	2
17:26760001-73760000	3	4	3
18:160001-80240000	2	2	2
19:240001-58560000	2	2	2
20:40001-64240000	2	2	2
21:13420001-46660000	2	2	2
22:16020001-50620000	2	2	2
FO538757.2	0.189801699716714	0.161290322580645	0.22
AP006222.2	0.325779036827195	0.419354838709677	0.26
RP11-206L10.9	0.0339943342776204	0.0645161290322581	0.044
NOC2L	1.38810198300283	1.7741935483871	1.332
KLHL17	0.0736543909348442	0.0645161290322581	0.104
PLEKHN1	0.0821529745042493	0.225806451612903	0.056
RP11-54O7.17	0.0651558073654391	0.0645161290322581	0.076
HES4	3.92917847025496	5.35483870967742	3.472
ISG15	8.90368271954674	8.12903225806452	8.324
AGRN	0.694050991501416	1.06451612903226	0.74
RNF223	0.0198300283286119	0.032258064516129	0.044
C1orf159	0.135977337110482	0.032258064516129	0.12
TNFRSF18	0.0594900849858357	0.032258064516129	0.088
SDF4	1.22946175637394	1.70967741935484	1.256
B3GALT6	0.0793201133144476	0.032258064516129	0.04
UBE2J2	1.13314447592068	1.58064516129032	1.016
ACAP3	0.104815864022663	0.032258064516129	0.084
PUSL1	0.334277620396601	0.387096774193548	0.272
CPSF3L	1.46742209631728	1.64516129032258	1.416
CPTP	0.339943342776204	0.451612903225806	0.26
DVL1	0.291784702549575	0.258064516129032	0.296
AURKAIP1	7.58923512747875	6.96774193548387	6.956
CCNL2	0.560906515580737	0.483870967741935	0.56
MRPL20	3.94617563739377	4.80645161290323	4.02
VWA1	0.084985835694051	0.161290322580645	0.072
ATAD3C	0.0424929178470255	0.0645161290322581	0.06
ATAD3B	0.252124645892351	0.419354838709677	0.288
ATAD3A	0.668555240793201	0.774193548387097	0.74
SSU72	5.40226628895184	6.32258064516129	4.928
MIB2	2.11614730878187	2.74193548387097	2.2
CDK11B	0.796033994334278	1.09677419354839	0.82
SLC35E2B	0.226628895184136	0.516129032258065	0.236
CDK11A	0.640226628895184	0.870967741935484	0.628
NADK	0.606232294617564	0.806451612903226	0.488
GNB1	1.0056657223796	1.16129032258065	0.912
TMEM52	0.325779036827195	0.516129032258065	0.304
PRKCZ	0.626062322946176	0.645161290322581	0.66
FAAP20	4.60623229461756	5.64516129032258	4.78
SKI	0.0906515580736544	0.32258064516129	0.124
MORN1	0.0963172804532578	0.0645161290322581	0.096
RER1	3.24645892351275	3.90322580645161	2.952
PEX10	0.365439093484419	0.483870967741935	0.34
RP3-395M20.12	0.155807365439093	0.290322580645161	0.132
TNFRSF14	0.1671388101983	0.129032258064516	0.228
FAM213B	0.232294617563739	0.225806451612903	0.188
LINC00982	0.0481586402266289	0.0645161290322581	0.048
PRDM16	0.189801699716714	0.161290322580645	0.1
ARHGEF16	0.254957507082153	0.354838709677419	0.168
MEGF6	0.0424929178470255	0	0.044
TPRG1L	0.422096317280453	0.548387096774194	0.404
WRAP73	0.594900849858357	0.838709677419355	0.632
SMIM1	0.101983002832861	0.0967741935483871	0.084
LRRC47	0.543909348441926	0.870967741935484	0.616
CEP104	0.393767705382436	0.354838709677419	0.428
C1orf174	0.464589235127479	0.709677419354839	0.404
KCNAB2	0.0594900849858357	0.0645161290322581	0.08
RPL22	9.95467422096317	9.61290322580645	9.884
RNF207	0.138810198300283	0.193548387096774	0.16
ICMT	0.368271954674221	0.548387096774194	0.384
GPR153	0.0396600566572238	0.0645161290322581	0.036
ACOT7	1.30311614730878	2.06451612903226	1.408
HES2	0.28328611898017	0.516129032258065	0.284
ESPN	0.254957507082153	0.290322580645161	0.288
TNFRSF25	0.101983002832861	0.32258064516129	0.096
PLEKHG5	0.192634560906516	0.0967741935483871	0.14
NOL9	0.246458923512748	0.0967741935483871	0.196
ZBTB48	0.169971671388102	0.129032258064516	0.16
KLHL21	0.334277620396601	0.548387096774194	0.38
PHF13	0.0906515580736544	0.290322580645161	0.112
THAP3	0.382436260623229	0.419354838709677	0.304
DNAJC11	0.172804532577904	0.258064516129032	0.12
CAMTA1	2.00849858356941	2.96774193548387	2.032
VAMP3	1.31161473087819	1.38709677419355	1.096
UTS2	0.254957507082153	0.354838709677419	0.396
PARK7	7.62606232294618	7.29032258064516	7.488
ERRFI1	6.15580736543909	6.25806451612903	5.696
RP11-431K24.1	0.0198300283286119	0.0967741935483871	0.02
SLC45A1	0.0623229461756374	0	0.064
RERE	0.342776203966006	0.290322580645161	0.28
ENO1	9.62322946175637	9.06451612903226	9.604
MIR34AHG	0.0339943342776204	0.0645161290322581	0.052
RP3-510D11.2	0.0538243626062323	0.129032258064516	0.028
H6PD	0.107648725212465	0.129032258064516	0.112
SPSB1	0.305949008498584	0.483870967741935	0.32
SLC25A33	0.260623229461756	0.419354838709677	0.208
TMEM201	0.0594900849858357	0	0.032
PIK3CD	0.0651558073654391	0.032258064516129	0.084
PIK3CD-AS2	0.28328611898017	0.548387096774194	0.22
CLSTN1	0.39943342776204	0.387096774193548	0.34
CTNNBIP1	0.288951841359773	0.387096774193548	0.248
LZIC	0.393767705382436	0.290322580645161	0.28
NMNAT1	0.158640226628895	0.0967741935483871	0.128
UBE4B	0.113314447592068	0.0645161290322581	0.14
KIF1B	0.240793201133144	0.516129032258065	0.232
PGD	1.90651558073654	2.09677419354839	2.204
APITD1	0.257790368271955	0.161290322580645	0.232
DFFA	1.41643059490085	1.61290322580645	1.456
PEX14	0.348441926345609	0.32258064516129	0.36
CASZ1	0.0368271954674221	0.0645161290322581	0.044
TARDBP	0.592067988668555	1.12903225806452	0.62
MASP2	0.0254957507082153	0.032258064516129	0.02
SRM	1.01133144475921	1.45161290322581	0.996
EXOSC10	0.351274787535411	0.419354838709677	0.34
RP4-635E18.6	0.0311614730878187	0	0.028
MTOR	0.223796033994334	0.387096774193548	0.252
UBIAD1	0.41643059490085	0.483870967741935	0.304
FBXO2	1.20679886685552	1.64516129032258	1.044
FBXO44	0.515580736543909	0.419354838709677	0.596
FBXO6	0.152974504249292	0.161290322580645	0.152
MAD2L2	1.26062322946176	2.2258064516129	1.356
AGTRAP	0.889518413597734	1.35483870967742	0.816
MTHFR	0.0736543909348442	0.0967741935483871	0.064
CLCN6	0.0396600566572238	0.0645161290322581	0.052
KIAA2013	0.308781869688385	0.419354838709677	0.26
PLOD1	0.362606232294618	0.645161290322581	0.296
MFN2	0.229461756373938	0.32258064516129	0.168
MIIP	0.68271954674221	1	0.708
VPS13D	0.0679886685552408	0.0967741935483871	0.056
DHRS3	0.311614730878187	0.354838709677419	0.216
PRDM2	0.30028328611898	0.354838709677419	0.252
TMEM51	0.215297450424929	0.32258064516129	0.172
EFHD2	0.68271954674221	0.870967741935484	0.592
CASP9	0.0623229461756374	0.129032258064516	0.072
DNAJC16	0.158640226628895	0.225806451612903	0.144
AGMAT	0.0963172804532578	0.0645161290322581	0.088
DDI2	0.0821529745042493	0.0645161290322581	0.084
PLEKHM2	0.164305949008499	0.193548387096774	0.168
UQCRHL	0.135977337110482	0.0967741935483871	0.128
FLJ37453	0.0169971671388102	0.0645161290322581	0.04
SPEN	0.30028328611898	0.387096774193548	0.22
ZBTB17	0.203966005665722	0.258064516129032	0.18
FAM131C	0.113314447592068	0.129032258064516	0.108
EPHA2	0.252124645892351	0.354838709677419	0.192
ARHGEF19	0.0623229461756374	0.0967741935483871	0.088
FBXO42	0.252124645892351	0.419354838709677	0.224
SZRD1	0.807365439093484	1.32258064516129	0.756
NECAP2	0.407932011331445	0.483870967741935	0.344
NBPF1	0.161473087818697	0.258064516129032	0.148
CROCC	0.121813031161473	0.129032258064516	0.14
RP11-108M9.4	0.0906515580736544	0.0645161290322581	0.124
MFAP2	0.218130311614731	0.129032258064516	0.208
ATP13A2	0.410764872521246	0.580645161290323	0.376
SDHB	2.18980169971671	2.25806451612903	2.28
PADI2	0.563739376770538	0.838709677419355	0.528
RCC2	0.390934844192635	0.32258064516129	0.324
ALDH4A1	0.169971671388102	0.225806451612903	0.176
UBR4	0.580736543909348	0.580645161290323	0.632
RP1-43E13.2	0.0226628895184136	0.032258064516129	0.024
EMC1	0.138810198300283	0.193548387096774	0.196
MRTO4	1.19263456090652	1.48387096774194	1.188
AKR7A3	0.0821529745042493	0.161290322580645	0.136
AKR7A2	1.23512747875354	1.51612903225806	1.316
PQLC2	0.237960339943343	0.32258064516129	0.22
CAPZB	2.28611898016997	2.51612903225806	2.152
MINOS1	2.30878186968839	2.41935483870968	2.36
NBL1	0.929178470254957	1.19354838709677	0.772
TMCO4	0.0396600566572238	0	0.048
OTUD3	0.0651558073654391	0.0967741935483871	0.064
MUL1	0.186968838526912	0.32258064516129	0.204
PINK1	0.492917847025496	0.806451612903226	0.428
DDOST	2.22096317280453	2.74193548387097	1.944
HP1BP3	1.09348441926346	1.64516129032258	1.168
EIF4G3	0.410764872521246	0.483870967741935	0.352
ECE1	0.235127478753541	0.354838709677419	0.224
RAP1GAP	0.0396600566572238	0.032258064516129	0.04
USP48	0.512747875354108	0.645161290322581	0.54
HSPG2	0.0509915014164306	0	0.056
LINC00339	0.0339943342776204	0.032258064516129	0.036
CDC42	3.1586402266289	4.29032258064516	2.976
ZBTB40	0.0708215297450425	0.0645161290322581	0.06
EPHB2	0.107648725212465	0.032258064516129	0.08
KDM1A	0.215297450424929	0.258064516129032	0.276
LUZP1	0.555240793201133	0.967741935483871	0.656
LINC01355	0.0396600566572238	0.032258064516129	0.044
HNRNPR	1.42492917847025	1.96774193548387	1.732
TCEA3	0.351274787535411	0.645161290322581	0.332
ASAP3	0.0226628895184136	0.0645161290322581	0.032
ID3	2.86968838526912	2.19354838709677	2.404
RPL11	10	10	10
TCEB3	0.368271954674221	0.451612903225806	0.284
TCEB3-AS1	0.0481586402266289	0.161290322580645	0.056
PITHD1	0.671388101983003	0.870967741935484	0.608
LYPLA2	0.943342776203966	1.06451612903226	0.84
GALE	1.07082152974504	1.87096774193548	0.988
HMGCL	0.804532577903683	0.709677419354839	0.704
FUCA1	0.232294617563739	0.32258064516129	0.28
PNRC2	1.01416430594901	1.25806451612903	0.924
SRSF10	1.72237960339943	2.41935483870968	1.728
STPG1	0.18413597733711	0.0967741935483871	0.18
NIPAL3	0.232294617563739	0.32258064516129	0.2
RCAN3	0.427762039660057	0.516129032258065	0.364
SRRM1	3.29745042492918	3.2258064516129	3.212
CLIC4	0.371104815864023	0.451612903225806	0.396
SYF2	2.77053824362606	3.80645161290323	2.552
RSRP1	0.487252124645892	0.483870967741935	0.516
TMEM50A	2.23229461756374	2.61290322580645	1.784
TMEM57	0.31728045325779	0.419354838709677	0.38
LDLRAP1	0.084985835694051	0.129032258064516	0.136
SEPN1	0.201133144475921	0.225806451612903	0.224
MTFR1L	0.407932011331445	0.451612903225806	0.392
AUNIP	0.121813031161473	0.161290322580645	0.116
PAQR7	0.13314447592068	0.225806451612903	0.128
STMN1	5.12464589235127	4.51612903225806	5.024
PAFAH2	0.0821529745042493	0.161290322580645	0.064
ZNF593	3.70538243626062	5.09677419354839	3.72
CNKSR1	0.291784702549575	0.516129032258065	0.216
CEP85	0.0339943342776204	0.0967741935483871	0.048
SH3BGRL3	6.10481586402266	6.03225806451613	5.828
UBXN11	0.223796033994334	0.0645161290322581	0.168
AIM1L	0.127478753541076	0.129032258064516	0.112
DHDDS	0.206798866855524	0.225806451612903	0.188
HMGN2	6.77620396600567	6.90322580645161	6.508
RPS6KA1	0.13314447592068	0.258064516129032	0.168
ARID1A	0.189801699716714	0.0645161290322581	0.176
PIGV	0.186968838526912	0.387096774193548	0.192
