2157	2158
1:840001-25880000	2.01333333333333	2.01251956181534
1:27280001-90500000	2	2
1:90660001-121560000	1.02666666666667	1.01095461658842
1:150780001-219540000	2	1.99843505477308
1:219780001-248900000	1.01333333333333	1.00860719874804
2:1-50580000	1.01333333333333	1.00782472613459
2:50760001-242040000	2	2
3:1-197920000	2	2
4:47280001-102040000	1	1.00391236306729
4:107120001-180080000	1	2
5:100001-35460000	2.96	2.98669796557121
5:74000001-181260000	2	2
6:140001-67580000	2.01333333333333	2
6:78180001-139780000	1	1
7:9840001-55720000	2.92	2.9906103286385
7:70640001-113580000	2	2.00312989045383
8:260001-89200000	1	1
8:89380001-144900000	2	2
9:22260001-125880000	1	1
10:8640001-133480000	2	2
11:260001-24060000	1	1
11:29920001-65380000	2	2.00156494522692
11:65580001-76020000	3.01333333333333	3.02660406885759
11:114760001-135040000	3.01333333333333	3.01643192488263
12:60001-34560000	2.98666666666667	2.98826291079812
12:37340001-64260000	2	2
12:80680001-115140000	1.02666666666667	1.00078247261346
12:115340001-133240000	2.02666666666667	2.00156494522692
13:18680001-82260000	1.96	2
14:20000001-60140000	2	1.99139280125196
14:61940001-106860000	2	2
15:60640001-101820000	2.25333333333333	2.00156494522692
16:7300001-74620000	2	2
17:1720001-11880000	2	2
17:13240001-83180000	2	2
18:120001-40360000	2.02666666666667	2.00860719874804
19:8360001-58480000	2	2.00234741784038
20:31140001-64220000	2.66666666666667	2.96948356807512
21:27360001-46660000	2	2
22:18040001-50620000	1	1.00234741784038
FO538757.2	0.466666666666667	0.162754303599374
AP006222.2	0.173333333333333	0.205790297339593
RP4-669L17.10	0	0.00782472613458529
RP11-206L10.9	0.106666666666667	0.0719874804381847
LINC00115	0.04	0.0242566510172144
FAM41C	0.0133333333333333	0.0172143974960876
RP11-54O7.1	0.12	0.0923317683881064
RP11-54O7.2	0.0133333333333333	0.00704225352112676
SAMD11	0.0266666666666667	0.014866979655712
NOC2L	2.05333333333333	1.61189358372457
KLHL17	0.106666666666667	0.066510172143975
PLEKHN1	0.04	0.0422535211267606
RP11-54O7.17	0	0.0109546165884194
HES4	0.6	0.436619718309859
ISG15	1.89333333333333	1.41158059467919
AGRN	0.506666666666667	0.370109546165884
RNF223	0.106666666666667	0.0618153364632238
C1orf159	0.12	0.10641627543036
RP11-465B22.8	0.16	0.15962441314554
TTLL10	0.12	0.0641627543035994
TNFRSF18	0.213333333333333	0.125978090766823
SDF4	1.90666666666667	1.28247261345853
B3GALT6	0.533333333333333	0.360719874804382
FAM132A	0.04	0.0485133020344288
UBE2J2	0.986666666666667	0.71830985915493
ACAP3	0.266666666666667	0.24491392801252
PUSL1	0.453333333333333	0.337245696400626
CPSF3L	0.773333333333333	0.623630672926448
CPTP	0.32	0.183098591549296
DVL1	0.613333333333333	0.364632237871674
AURKAIP1	6.18666666666667	5.07981220657277
CCNL2	1.18666666666667	0.723787167449139
MRPL20	4.8	4.03755868544601
RP4-758J18.13	0.0266666666666667	0.00782472613458529
VWA1	0.853333333333333	0.557902973395931
ATAD3C	0.0533333333333333	0.0430359937402191
ATAD3B	0.973333333333333	0.687793427230047
ATAD3A	0.64	0.541471048513302
TMEM240	0.0266666666666667	0.0140845070422535
SSU72	5.49333333333333	4.38419405320814
RP5-832C2.5	0.0666666666666667	0.0633802816901408
C1orf233	0.253333333333333	0.219874804381847
RP11-345P4.9	0.0666666666666667	0.0367762128325509
MIB2	0.373333333333333	0.183098591549296
MMP23B	0.04	0.0195618153364632
CDK11B	0.626666666666667	0.47339593114241
SLC35E2B	0.56	0.469483568075117
CDK11A	0.386666666666667	0.413928012519562
SLC35E2	0.08	0.0375586854460094
NADK	0.653333333333333	0.463223787167449
GNB1	2.21333333333333	1.76056338028169
TMEM52	0.346666666666667	0.219092331768388
CFAP74	0.0133333333333333	0.0539906103286385
PRKCZ	0.293333333333333	0.248826291079812
RP5-892K4.1	0	0.00860719874804382
RP11-181G12.2	0	0.0117370892018779
FAAP20	3.50666666666667	2.48356807511737
SKI	0.586666666666667	0.284820031298905
MORN1	0.133333333333333	0.113458528951487
RER1	1.52	1.21987480438185
PEX10	0.333333333333333	0.312989045383412
PANK4	0.0266666666666667	0.0305164319248826
RP3-395M20.12	0.0266666666666667	0.0352112676056338
FAM213B	0.28	0.199530516431925
TTC34	0	0.00860719874804382
LINC00982	0.0666666666666667	0.014866979655712
PRDM16	0.106666666666667	0.094679186228482
RP1-163G9.2	0.04	0.00938967136150235
ARHGEF16	0.373333333333333	0.241784037558685
MEGF6	0.106666666666667	0.0469483568075117
TPRG1L	0.28	0.208137715179969
WRAP73	0.546666666666667	0.421752738654147
TP73	0.106666666666667	0.07981220657277
SMIM1	0.32	0.163536776212833
LRRC47	0.586666666666667	0.44131455399061
CEP104	0.466666666666667	0.370109546165884
DFFB	0.12	0.0766823161189358
C1orf174	0.32	0.406885758998435
LINC01134	0.0133333333333333	0.0203442879499218
NPHP4	0.12	0.0860719874804382
KCNAB2	0.12	0.0837245696400626
RPL22	7	6.99921752738654
RNF207	0.386666666666667	0.187793427230047
ICMT	0.573333333333333	0.513302034428795
ACOT7	0.88	0.541471048513302
HES2	0.0266666666666667	0.0109546165884194
ESPN	0.0666666666666667	0.0610328638497653
TNFRSF25	0.04	0.0461658841940532
PLEKHG5	0.0133333333333333	0.0406885758998435
NOL9	0.52	0.364632237871674
ZBTB48	0.12	0.135367762128326
KLHL21	0.266666666666667	0.146322378716745
PHF13	0.146666666666667	0.101721439749609
THAP3	0.306666666666667	0.215179968701095
DNAJC11	0.186666666666667	0.165884194053208
CAMTA1	1.54666666666667	1.23708920187793
VAMP3	0.666666666666667	0.504694835680751
PER3	0	0.0109546165884194
UTS2	0.0933333333333333	0.0555555555555556
PARK7	5.92	5.50625978090767
ERRFI1	1.09333333333333	0.857589984350548
RP11-431K24.1	0.0266666666666667	0.0492957746478873
RERE	1.24	0.899843505477308
ENO1	6.36	6.24647887323944
GPR157	0.106666666666667	0.10093896713615
MIR34AHG	0.0666666666666667	0.0391236306729265
RP3-510D11.2	0.04	0.0657276995305164
H6PD	0.146666666666667	0.0954616588419405
SPSB1	0.106666666666667	0.0594679186228482
SLC25A33	1.14666666666667	0.884976525821596
TMEM201	0.106666666666667	0.11189358372457
PIK3CD	0.04	0.0375586854460094
PIK3CD-AS2	0.0533333333333333	0.0594679186228482
CLSTN1	0.533333333333333	0.601721439749609
CTNNBIP1	0.56	0.438184663536776
LZIC	0.6	0.489827856025039
NMNAT1	0.0933333333333333	0.0931142410015649
RBP7	0.133333333333333	0.100156494522692
UBE4B	0.693333333333333	0.74491392801252
KIF1B	1.78666666666667	2.00312989045383
PGD	1.69333333333333	1.29342723004695
APITD1-CORT	0.0133333333333333	0.0164319248826291
