2170	2169
1:840001-12760000	7.64471172203132	8.36941580756014
1:12780001-26360000	8.08118279569893	8.47076612903226
1:27100001-38520000	7.36586321771507	8.50330687830688
1:38540001-39620000	6.88050314465409	8.17216981132075
1:39620001-44280000	7.41872877244056	8.42248908296943
1:44400001-83120000	5.83653225333099	5.45225832012678
1:83500001-248900000	6.03348094471282	5.62869867149758
2:1-32840000	5.03435219606223	5.05591697645601
2:32900001-88960000	4.9401646090535	4.95828703703704
2:91820001-241940000	5.03794426140795	4.87163372009741
3:80001-60040000	3.81743601376129	4.06639162980606
3:60040001-197980000	3.46140732864111	3.96756797812547
4:100001-49060000	2.71381456707544	2.65948996655518
4:51800001-68480000	3.78801715788017	4.02039227895392
4:68600001-189940000	3.91222997108352	4.15159891137948
5:100001-12820000	5.71653832049872	5.31724422442244
5:12820001-46340000	6.27132593987585	6.191776522285
5:50260001-67340000	4.09901648059543	3.68450956937799
5:67360001-72480000	4.28988603988604	3.95913461538461
5:72480001-74080000	4.73980309423347	3.98101265822785
5:74140001-181200000	4.15809241731591	3.94953641104887
6:220001-170500000	4.66727873668748	4.86652283021178
7:100001-65740000	8.16495756039482	8.02013480815762
7:65780001-151980000	8.16039935269756	7.3480622068625
7:152260001-159160000	8.90931118033923	7.34423676012461
8:260001-54480000	3.87846520195893	4.27739587545491
8:54580001-56760000	7.57594291539246	8.10206422018349
8:56800001-58140000	5.74074074074074	7.06060606060606
8:58200001-62260000	4.53344671201814	4.68813775510204
8:62320001-64720000	5.37164750957854	6.31573275862069
8:64800001-91380000	3.56835278858625	4.3511673151751
8:91440001-93620000	5.70261437908497	6.47916666666667
8:93740001-95460000	9.37385620915032	8.69852941176471
8:95620001-97480000	6.17874396135266	7.7866847826087
8:98600001-100220000	9.08298171589311	9.05854430379746
8:100260001-102360000	9.85478547854786	9.24628712871287
8:102680001-108740000	6.30976430976431	7.51515151515152
8:108820001-120300000	4.25595238095238	4.98727678571429
8:120360001-122840000	5.98071625344353	6.6198347107438
8:122920001-124180000	11.4767025089606	11.3024193548387
8:124540001-126480000	4.19858156028369	4.875
8:129140001-145060000	3.84606629677052	4.63524327784891
9:180001-20880000	3.42115572967679	3.87818315377081
9:21000001-24500000	0	0
9:24580001-138060000	3.62186905732138	4.16656479217604
10:80001-38040000	4.13370390293467	4.83606777837547
10:38100001-41820000	4.51495726495726	5.02884615384615
10:42080001-75440000	4.93872974537037	4.874267578125
10:75520001-120280000	4.23701298701299	3.8056586270872
10:121920001-133600000	4.01676413255361	3.94232456140351
11:180001-34640000	3.30583917250584	4.11891891891892
11:35380001-37900000	4.85483870967742	7.5383064516129
11:38440001-41300000	4.17527386541471	6.50792253521127
11:42200001-43900000	4.46586345381526	6.15361445783132
11:44240001-55580000	5.2773261065944	6.29166666666667
11:55580001-134900000	4.91014216916112	5.81919932520114
12:100001-27460000	2.72573627844712	2.68665286144578
12:27600001-28740000	8.07992202729045	7.80263157894737
12:30420001-62440000	5.28542729099057	6.24434979137691
12:62620001-68140000	2.42620865139949	4.09112595419847
12:68360001-69540000	5.09604519774011	5.43008474576271
12:69700001-88920000	2.15808297567954	3.84146995708154
12:89060001-94880000	5.21989121989122	6.39772727272727
12:95060001-102100000	2.35633300939423	4.13921282798834
12:102220001-114820000	5.56234369417649	7.02552250803859
12:115560001-133140000	5.40108401084011	6.93307200929152
13:18680001-114240000	4.8782932416953	3.84831400343643
14:19960001-106860000	6.13377400062953	6.63426581680831
15:17000001-19940000	5.98412698412698	6.625
15:22800001-101700000	5.28053606763806	5.48917296276309
16:100001-31920000	4.23719364287213	4.38077682756799
16:34760001-36100000	5.28632478632479	5.5625
16:46400001-47780000	6.62023217247098	6.84888059701492
16:50300001-51540000	4.14695340501792	4.43548387096774
16:51540001-54900000	4.90951430472389	4.9184131736527
16:54900001-58140000	4.22152341020266	4.1816037735849
16:58160001-65740000	4.89435336976321	5.65573770491803
16:66140001-71800000	9.03508771929824	8.30769230769231
16:72340001-76480000	6.6340206185567	6.66172680412371
16:76480001-78680000	5.4030303030303	6.05909090909091
16:78700001-81620000	6.22528735632184	6.47327586206896
16:81840001-83280000	4.71205007824726	5.49647887323944
16:83660001-86740000	6.32965415746872	5.82450331125828
16:86740001-89960000	7.37508846426044	7.18630573248408
17:180001-22100000	2.85446171560161	2.95440414507772
17:26920001-83080000	6.25576675934037	5.86318072141041
18:200001-15180000	5.25504322766571	5.05709654178674
18:20980001-80140000	4.93307252713535	4.92945288229203
19:280001-24300000	5.86876345595806	6.03275063184499
19:24300001-27320000	6.22222222222222	8.5
19:27380001-58540000	5.73185380502454	6.8071852340145
20:40001-29320000	5.19112481795597	6.31013878180416
20:29320001-30740000	5.343669250646	6.625
20:31140001-64220000	5.87832958648409	6.74701103617412
21:13280001-46620000	3.99056603773585	4.03663522012579
22:16080001-50640000	5.23839137645108	5.80045087064677
