2152	2154	2153	2155
1:840001-3780000	2.57557251908397	2.29770992366412	2.65629865937488	2.19193020719738
1:3780001-12760000	2.9875	2.9375	3	2.82857142857143
1:13360001-229600000	3	3	3	3
1:229820001-248840000	2.025	2	2	2
2:60001-10200000	4.9875	5.0625	5.00497512437811	4.94285714285714
2:10380001-77220000	4	4	4.01990049751244	4
2:77220001-78480000	3.73220338983051	3.64830508474576	3.76886752677291	3.85133171912833
2:78480001-88940000	4.025	4	4.00497512437811	4
2:94480001-141460000	2	2	2	2
2:141600001-238020000	3	3	3	3
2:238180001-239320000	2.40109649122807	2.26973684210526	2.41214977742865	2.03609022556391
2:239400001-241940000	2.91497933884298	2.83780991735537	2.86904321368365	2.34639905548996
3:20001-4.1e+07	3.0125	3	3	3
3:41280001-59900000	3.0125	3	3.02985074626866	2.91428571428571
3:61000001-81120000	3.0125	3	2.99502487562189	3
3:81380001-84740000	4.9644578313253	4.90286144578313	4.91847988970809	4.95834767641997
3:84920001-126280000	4.025	4	3.97014925373134	4
3:127120001-128480000	4.90900735294118	4.80514705882353	4.82784606379865	4.4436974789916
3:130020001-167860000	5	5	4.91044776119403	4.97142857142857
3:167860001-169100000	5.36970338983051	5.67478813559322	5.13846024116705	5.48910411622276
3:169100001-184580000	4.975	5.1875	4.86069651741294	5.02857142857143
3:184580001-186820000	5.1606981981982	5.46565315315315	5.0934068396755	5.03500643500644
3:186860001-188780000	5.08410326086956	5.27038043478261	5.01168072680078	5.04006211180124
3:188780001-197960000	5.0375	5.1875	4.96019900497512	5
4:100001-189960000	3	3	3	3
5:80001-59800000	3	3	3	3
5:59800001-60980000	2.79013157894737	2.70504385964912	2.75656803700794	2.69924812030075
5:61000001-180920000	3	3	3	3
6:260001-170480000	4	4	4	4
7:180001-2700000	4.62459349593496	5.25355691056911	5.49455972171662	4.51428571428571
7:2740001-6980000	4.9466875	5.7153125	5.85781094527363	5.28157142857143
7:6980001-74700000	5.025	6	6.00497512437811	6
7:74980001-86400000	5.0375	5.8125	5.92039800995025	6.02857142857143
7:86500001-110660000	4.05	5	5.00497512437811	5.02857142857143
7:110700001-159240000	4.05	5	4.98009950248756	5
8:260001-8220000	3.9625	3.9375	4.01492537313433	3.94285714285714
8:8240001-12560000	3.97580213903743	3.95588235294118	4.02043259637641	3.99052711993888
8:12600001-133020000	4	4	4.01492537313433	4
8:133160001-137180000	4.89703608247423	5.04188144329897	4.86169667128276	4.95139911634757
8:137360001-139580000	4.16454545454545	4.12613636363637	4.10728177295341	4.11246753246753
8:140440001-144540000	3.58793316831683	3.49876237623762	3.69974385498251	3.08684582743989
9:260001-38740000	3.9875	4.0625	4	4.02857142857143
9:42680001-137600000	4	4	4.02487562189055	4.02857142857143
10:120001-120240000	3	3	3.00497512437811	3
10:121880001-123600000	3.00993975903614	3.09036144578313	3.0804411676557	2.95765920826162
10:124240001-128760000	2.98637387387387	3.04560810810811	2.98610550849357	2.91351351351351
10:128960001-131100000	2.21367924528302	2.12382075471698	2.21956256453581	2.09407008086253
10:131300001-133540000	2.73073394495413	2.44036697247706	2.68245926331645	2.24560943643512
11:340001-34940000	2	2	2	2
11:35120001-50040000	3.95	3.9375	4.00497512437811	3.97142857142857
11:50400001-66600000	3.9375	3.875	4.00497512437811	3.8
11:66720001-83820000	4.9375	4.9375	4.96517412935323	4.57142857142857
11:83820001-95320000	5	5	4.97512437810945	5
11:95540001-134880000	6.9625	6.9375	7	6.97142857142857
12:120001-55640000	4	3.9375	3.99004975124378	4
12:55800001-133140000	3	3	2.99004975124378	3
13:18800001-114300000	3.975	3	4	4
14:20060001-104060000	2.975	3	3.00497512437811	3
14:104060001-106860000	2.82094017094017	2.63942307692308	2.81166815495174	2.4017094017094
15:17000001-19940000	2.92142857142857	2.75	2.90191897654584	2.80408163265306
15:22760001-23820000	3.95789473684211	3.9983552631579	3.95312909138518	3.93984962406015
15:24620001-26020000	2.14714285714286	2.09642857142857	2.18493248045487	2.04612244897959
15:26660001-84140000	3.975	3.9375	3.98009950248756	4.02857142857143
15:84520001-101820000	3.95	4	3.97014925373134	4
16:240001-34220000	4.0375	3.9375	4.01492537313433	3.85714285714286
16:34580001-36200000	4.075	3.93173076923077	4.09973210868733	3.92175824175824
16:46400001-90040000	4.0125	4	3.99502487562189	3.8
17:240001-7560000	3.7875	3.5	3.88059701492537	3.08571428571429
17:7680001-18260000	3.95	3.75	3.99502487562189	3.42857142857143
17:19220001-21860000	4.83005050505051	4.70138888888889	4.86054575606814	4.09292929292929
17:22100001-82940000	4.925	4.8125	5.00497512437811	4
