2167	2165	2166
1:840001-248840000	0.640650406504065	0.667889893112129	0.828861788617886
2:80001-183640000	0.827220077220077	0.852994237892715	1.07010135135135
2:184480001-241960000	0.825260979968024	0.757215373459028	0.834101382488479
3:40001-48520000	0.794681508967223	0.814515715530944	1.01010101010101
3:48640001-60060000	0.425995640974836	0.445704992361145	0.514563106796116
3:60660001-197980000	0.69606024227873	0.729672358098754	0.871657754010695
4:5660001-1.9e+08	0.55221768707483	0.56034923857868	0.698666666666667
5:1-181260000	0.698265513101792	0.708886852482985	0.867139959432049
6:380001-170520000	0.600757904709272	0.611546505120325	0.66441005802708
7:100001-57980000	1.370088333841	1.40127787458646	1.6044776119403
7:62560001-159180000	0.673892354869409	0.701783225059835	0.822538860103627
8:260001-145020000	0.821836734693878	0.652723350253807	0.78375
9:26780001-74980000	0.817852374594698	0.808672138146971	1.15420560747663
9:75160001-124040000	0.546262676849881	0.548858646569711	0.742331288343558
9:124160001-137600000	1.29495997293945	1.32348767422946	1.5
10:5780001-133500000	0.504025463396368	0.521541004983002	0.606651376146789
11:260001-85120000	0.977920310981535	1.0144336475707	0.97047619047619
11:116780001-134900000	0.803734259661311	0.829268819526947	0.909574468085105
12:1500001-133140000	1.07563213964831	1.09019889538039	1.31603773584905
13:18680001-114300000	0.613000755857899	0.616473961270916	0.835648148148149
14:19940001-106860000	0.644446723412983	0.653409177869041	0.762562814070352
15:22200001-101720000	0.592110302566066	0.602125719573767	0.768096514745308
16:100001-34080000	0.760755653612796	0.817073672657429	0.94087837837838
16:46400001-90060000	0.594536647343762	0.594303659957732	0.830739299610894
17:120001-21260000	0.574560517276217	0.580192993918681	0.569306930693069
18:200001-80240000	0.555222088835534	0.550994326664676	0.708823529411765
19:240001-24300000	0.85609359425004	0.884326595591977	1.05269922879177
19:27400001-58560000	0.658300484007784	0.673503530959503	0.781173594132029
20:40001-64220000	0.727720555306762	0.737841923523702	0.863636363636364
21:13780001-46620000	0.796310832025118	0.812573213588442	0.918269230769231
22:16060001-50580000	0.606009070294785	0.624266779469825	0.815972222222222
FO538757.2	0.183673469387755	0.142131979695431	0
AP006222.2	0.0408163265306122	0.0649746192893401	0.5
RP4-669L17.10	0.0204081632653061	0.0131979695431472	0
RP11-206L10.9	0.0408163265306122	0.033502538071066	0
FAM41C	0	0.0121827411167513	0
SAMD11	0.0204081632653061	0.0192893401015228	0
NOC2L	1.12244897959184	1.01116751269036	0.5
KLHL17	0.0204081632653061	0.0263959390862944	0
PLEKHN1	0.102040816326531	0.105583756345178	0
RP11-54O7.17	0	0.0477157360406091	0
HES4	1.38775510204082	1.87208121827411	4
ISG15	3.06122448979592	3.6751269035533	2
AGRN	1.55102040816327	1.86700507614213	3.5
RNF223	0.0204081632653061	0.0131979695431472	0.5
C1orf159	0.142857142857143	0.128934010152284	0
RP11-465B22.8	0.122448979591837	0.0984771573604061	0
TTLL10	0.0408163265306122	0.0355329949238579	0
SDF4	1.28571428571429	1.48223350253807	1
B3GALT6	0.204081632653061	0.287309644670051	0
FAM132A	0.0816326530612245	0.0213197969543147	0
UBE2J2	0.897959183673469	0.701522842639594	1.5
ACAP3	0.285714285714286	0.269035532994924	0
PUSL1	0.326530612244898	0.34010152284264	0
CPSF3L	0.428571428571429	0.433502538071066	0
CPTP	0.591836734693878	0.49746192893401	0
DVL1	0.551020408163265	0.551269035532995	1
AURKAIP1	7.06122448979592	7.08934010152284	8
CCNL2	0.795918367346939	0.573604060913706	1
MRPL20	4.63265306122449	4.6761421319797	6
RP4-758J18.13	0	0.0101522842639594	0
VWA1	0.163265306122449	0.222335025380711	0
ATAD3C	0.0612244897959184	0.0588832487309645	0
ATAD3B	0.469387755102041	0.330964467005076	0
