2167	2165	2166
1:840001-248840000	2	2	2
2:80001-183640000	3	3	3
2:184480001-241960000	2.78571428571429	2	2.97489539748954
3:40001-48520000	3	2.99335548172757	2.99581589958159
3:48640001-60060000	1.03571428571429	1	1
3:60660001-197980000	3	3	3
4:280001-3720000	2.00887573964497	1.98641608838389	1.99457800004952
4:3920001-5500000	1.04452054794521	1.04277977517863	1.0484323952542
4:5660001-1.9e+08	2	1.99667774086379	2
5:1-181260000	2	2	2
6:380001-170520000	2	1.99335548172757	2
7:100001-57980000	5.14285714285714	5	4.97489539748954
7:58000001-6.1e+07	5.34642857142857	5.33322259136213	5.36778242677824
7:62560001-159180000	3.03571428571429	3	3
8:260001-145020000	3	2	2
9:260001-19340000	4.03571428571429	3.99667774086379	3.99581589958159
9:22020001-24060000	2.01272984441301	2.00605243248577	2.00124280210448
9:24180001-25900000	3.93452380952381	3.94652744818858	3.94431161585973
9:26780001-74980000	4.03571428571429	4	4.00418410041841
9:75160001-124040000	2.03571428571429	1.99667774086379	2
9:124160001-137600000	4.03571428571429	3.96345514950166	4
10:100001-5760000	1.25	1.98006644518272	1.33891213389121
10:5780001-133500000	2	2.00664451827243	2
11:260001-85120000	3	3.00664451827243	3
11:85720001-96740000	3.03571428571429	3.00996677740864	3
11:96880001-116680000	1	1	1
11:116780001-134900000	3.03571428571429	3.00996677740864	2.97489539748954
12:120001-1320000	2.16283292978208	2.09578242018132	2.13701155946387
12:1500001-133140000	3	3	2.99163179916318
13:18680001-114300000	2	2	2.00418410041841
14:19940001-106860000	2	1.99667774086379	2
15:17000001-19960000	2.10357142857143	2.12425249169435	2.07740585774059
15:22200001-101720000	2	1.99335548172757	2
16:100001-34080000	2.96428571428571	2.99003322259136	2.99163179916318
16:34780001-36100000	2.0609243697479	2.13243436909648	2.16646156370498
16:46400001-90060000	2	2.01328903654485	1.99163179916318
17:120001-21260000	2	1.99667774086379	1.98326359832636
17:22320001-26760000	4.25	4.02053760193295	4.30448839863066
17:27320001-34260000	2	1.99667774086379	1.98326359832636
17:34420001-36140000	3.90348639455782	3.76146970416073	3.93539549711098
17:37360001-38380000	4.41309523809524	4.24008859357697	4.35648535564854
17:38560001-39640000	3.16666666666667	3.05721668512366	3.13931504726484
17:40660001-41920000	4.89170506912442	4.70501553959919	4.87359967606965
17:46140001-50320000	3.93039772727273	3.8179741769858	3.89844047166223
17:50460001-58280000	3.03571428571429	2.99667774086379	2.99581589958159
17:58440001-59720000	4.90783410138249	4.6961204586861	4.86948306114185
17:59880001-61700000	6.67552264808362	6.40158820192853	6.68966221042964
17:61900001-6.4e+07	4.86607142857143	4.63913621262458	4.78096234309623
17:64940001-67520000	3.02980877390326	3.01383838648076	3.04329061377788
17:67640001-69380000	4.82478991596639	4.59456712917725	4.69810484863401
17:71460001-73160000	4.81806722689076	4.66965018565566	4.7643120846665
17:77380001-78680000	4.22252747252747	4.08479427549195	4.19394914708722
17:80560001-81680000	4.18303571428571	3.99365211200759	4.06731918708906
18:200001-80240000	2	2.00332225913621	2
19:240001-24300000	2	1.98671096345515	2.00418410041841
19:24320001-27320000	2.32142857142857	2.3297342192691	2.26255230125523
19:27400001-58560000	1.96428571428571	2.01661129568106	2
20:40001-64220000	2	2	1.99163179916318
21:13780001-46620000	1.96428571428571	2.01661129568106	2.00418410041841
22:10720001-12600000	2.49107142857143	2.75415282392027	2.48797071129707
22:16060001-50580000	2	1.99667774086379	1.99581589958159
