2209	2207	2210	2208
1:840001-12760000	3.04	3.01428571428571	3.02097902097902	3
1:13360001-15040000	3.07566265060241	3.01342512908778	2.99814643188137	2.9937815779246
1:15180001-33480000	2	2.01428571428571	2.02097902097902	2.03225806451613
1:33660001-43880000	4	4.02857142857143	4.02447552447552	4.12903225806452
1:44120001-70960000	3	3	3.00699300699301	3.03225806451613
1:71040001-72800000	2.54558139534884	2.66179401993355	2.61774272239389	2.52288072018005
1:72840001-121500000	3	3	3.00699300699301	3
1:143540001-146020000	3.28347826086957	4.02546583850932	4.04499847978109	3.88078541374474
1:148240001-189140000	3.08	4.01428571428571	4.01048951048951	4.03225806451613
1:189660001-198860000	3.04	3.98571428571429	3.94055944055944	4.03225806451613
1:198880001-246260000	3	4	4.00699300699301	4.06451612903226
1:247260001-248900000	3.13101449275362	4.01656314699793	4.00780379041249	4.07947639083684
2:20001-3280000	3.92379746835443	4.02947558770344	3.99508719128972	3.92343813801552
2:3900001-31800000	2.92	3	3	3
2:32900001-39260000	3.92	3.98571428571429	3.98251748251748	3.93548387096774
2:39300001-40340000	4.29411764705882	4.55490196078431	4.42506513094748	4.50411132194813
2:40460001-50160000	3.92	4	4.0034965034965	3.93548387096774
2:51220001-52280000	4.5177358490566	4.78787061994609	4.70081804987465	4.71515520389531
2:52360001-84560000	3.96	3.97142857142857	3.9965034965035	4
2:84820001-88960000	4.85583333333333	4.83184523809524	4.90892094017094	4.92249103942652
2:91820001-95560000	3.91	3.98821428571429	3.91311188811189	3.87741935483871
2:96080001-140380000	3	3	3	2.96774193548387
2:141260001-170980000	2.04	2	2	2
2:171260001-242020000	3.04	2.98571428571429	2.9965034965035	3
3:40001-1720000	2.855	2.92410714285714	2.94431818181818	2.88467741935484
3:1800001-3680000	2.92936170212766	2.91747720364742	2.93025591429847	2.87577213452299
3:3720001-28120000	3	2.98571428571429	2.9965034965035	2.96774193548387
3:28620001-88940000	2	2	1.9965034965035	2
3:89120001-91320000	1.0576	1.0512380952381	1.05072261072261	1.04731182795699
3:93800001-95060000	2.02387096774194	1.96520737327189	1.96565531242951	1.98178980228928
3:96040001-99800000	1.99608695652174	2.01428571428571	2.03106947400426	1.99438990182328
3:100340001-101420000	2.17283018867925	2.15795148247978	2.14111360337775	2.11868533171029
3:101580001-112820000	2.88	3	2.97552447552448	2.96774193548387
3:112940001-162780000	2	2	2	2
3:162880001-164420000	1.82378378378378	1.98455598455598	1.97750897750898	1.99389712292938
3:164720001-171740000	2.88	3	2.97902097902098	3
3:171920001-184880000	2	2.01428571428571	2.0034965034965	2
3:185020001-187980000	2.90788732394366	2.97726358148893	2.9785777602679	2.94434348023626
3:188000001-189400000	2.54457142857143	2.65571428571429	2.61768231768232	2.69907834101382
3:189620001-193580000	2.03507692307692	2.03736263736264	2.02359691590461	2.03771712158809
3:193820001-198080000	2.93154639175258	3.02076583210604	3.00609184629803	2.99750581975391
4:60001-3020000	2.99724137931034	3.00817733990148	2.99172896069448	2.97819799777531
4:3400001-49040000	2	2	2	2
4:51920001-90200000	3	3	2.9965034965035	3
4:93740001-152940000	2	2	1.99300699300699	2
4:153540001-189980000	3	3	2.98601398601399	3
