2157	2158
1:840001-25880000	0.688360091743119	0.676112599008491
1:27280001-90500000	0.679409620991254	0.689531535773138
1:90660001-121560000	0.37421875	0.353658773291925
1:150780001-219540000	0.718406593406593	0.712053784724592
1:219780001-248900000	0.383680555555556	0.393915343915344
2:1-50580000	0.416	0.394172138420586
2:50760001-242040000	0.640306946688207	0.64694809299712
3:1-197920000	0.605043541364296	0.606084973271191
4:47280001-102040000	0.339430894308943	0.354693733272736
4:107120001-180080000	0.472834645669291	0.624345869809752
5:100001-35460000	0.99	1.00944099378882
5:74000001-181260000	0.696900544959128	0.693908981671095
6:140001-67580000	0.652252650176678	0.646779184864912
6:78180001-139780000	0.380509868421053	0.382379862700229
7:9840001-55720000	1.05064814814815	1.06731999079825
7:70640001-113580000	0.586945812807882	0.573760058746137
8:260001-89200000	0.323223039215686	0.328510534648642
8:89380001-144900000	0.771703296703297	0.769476486246673
9:22260001-125880000	0.344578853046595	0.344304191990026
10:8640001-133480000	0.558193512304251	0.561360067808857
11:260001-24060000	0.500359712230216	0.483685598105367
11:29920001-65380000	0.75525	0.755708074534161
11:65580001-76020000	1.13931297709924	1.11087193589683
11:114760001-135040000	0.791145833333333	0.791032608695652
12:60001-34560000	0.86006711409396	0.856142398599358
12:37340001-64260000	0.934405940594059	0.919937273230428
12:80680001-115140000	0.459423076923077	0.453664596273292
12:115340001-133240000	0.856034482758621	0.805033197686871
13:18680001-82260000	0.704575163398693	0.728145171111923
14:20000001-60140000	0.697715053763441	0.684652374273693
14:61940001-106860000	0.654002463054187	0.649089740843864
15:60640001-101820000	0.708528037383178	0.632832182039821
16:7300001-74620000	0.534253731343284	0.531899508667841
17:1720001-11880000	0.690576923076923	0.673750597228858
17:13240001-83180000	0.673291366906475	0.664681174315206
18:120001-40360000	0.669368131868131	0.649389120196573
19:8360001-58480000	0.681258967001435	0.682411755794577
20:31140001-64220000	0.806798245614035	0.854691075514874
21:27360001-46660000	0.719976635514018	0.722191908051315
22:18040001-50620000	0.407371794871795	0.396368848542762
FO538757.2	0.125	0.152795031055901
AP006222.2	0.175	0.190062111801242
RP4-669L17.10	0.025	0.00869565217391304
RP11-206L10.9	0.1625	0.062111801242236
LINC00115	0.025	0.0198757763975155
FAM41C	0.0125	0.0260869565217391
RP11-54O7.1	0.05	0.0608695652173913
RP11-54O7.2	0.0125	0.00869565217391304
SAMD11	0.025	0.00745341614906832
NOC2L	1.6375	1.58012422360248
KLHL17	0.1375	0.0645962732919255
PLEKHN1	0.0375	0.031055900621118
RP11-54O7.17	0.0125	0.00745341614906832
HES4	0.55	0.477018633540373
ISG15	1.7125	1.25590062111801
AGRN	0.375	0.335403726708075
RNF223	0.0625	0.0496894409937888
C1orf159	0.075	0.114285714285714
RP11-465B22.8	0.0875	0.127950310559006
TTLL10	0.0375	0.0658385093167702
TNFRSF18	0.225	0.145341614906832
SDF4	1.2625	1.41739130434783
B3GALT6	0.425	0.366459627329193
FAM132A	0.0375	0.0347826086956522
UBE2J2	0.8875	0.855900621118012
ACAP3	0.2375	0.237267080745342
PUSL1	0.4375	0.483229813664596
CPSF3L	0.8625	0.73167701863354
CPTP	0.2625	0.181366459627329
DVL1	0.5	0.37639751552795
AURKAIP1	6.1125	5.91552795031056
CCNL2	0.575	0.726708074534162
MRPL20	4.7625	4.62732919254658
RP4-758J18.13	0.0125	0.0248447204968944
VWA1	0.5625	0.535403726708075
ATAD3C	0.075	0.0472049689440994
ATAD3B	0.8125	0.781366459627329
ATAD3A	0.6	0.648447204968944
TMEM240	0.0375	0.0062111801242236
SSU72	5.075	5.00248447204969
RP5-832C2.5	0.0625	0.0857142857142857
C1orf233	0.1875	0.161490683229814
RP11-345P4.9	0.1	0.0260869565217391
MIB2	0.1375	0.190062111801242
MMP23B	0	0.0198757763975155
CDK11B	0.85	0.655900621118012
SLC35E2B	0.5875	0.484472049689441
CDK11A	0.4375	0.554037267080745
SLC35E2	0	0.0397515527950311
NADK	0.4625	0.393788819875776
GNB1	1.9625	1.83105590062112
TMEM52	0.2625	0.201242236024845
CFAP74	0.05	0.0322981366459627
PRKCZ	0.1875	0.248447204968944
RP5-892K4.1	0	0.00869565217391304
RP11-181G12.2	0.0375	0.0161490683229814
FAAP20	2.6	2.62360248447205
SKI	0.4625	0.284472049689441
MORN1	0.075	0.100621118012422
RER1	2.1875	1.48819875776398
PEX10	0.3875	0.344099378881988
PANK4	0.0375	0.0335403726708075
RP3-395M20.12	0.0125	0.0161490683229814
FAM213B	0.1875	0.162732919254658
TTC34	0.0125	0.00496894409937888
LINC00982	0.0125	0.0173913043478261
PRDM16	0.0875	0.121739130434783
RP1-163G9.2	0	0.00745341614906832
ARHGEF16	0.375	0.291925465838509
MEGF6	0	0.0757763975155279
TPRG1L	0.2125	0.171428571428571
WRAP73	0.5375	0.414906832298137
TP73	0.0875	0.119254658385093
SMIM1	0.1875	0.125465838509317
LRRC47	0.5875	0.521739130434783
CEP104	0.325	0.404968944099379
DFFB	0.075	0.0608695652173913
C1orf174	0.525	0.519254658385093
LINC01134	0.025	0.0161490683229814
NPHP4	0.075	0.0832298136645963
KCNAB2	0.075	0.105590062111801
RPL22	7	7
RNF207	0.2375	0.160248447204969
ICMT	0.65	0.672049689440994
ACOT7	0.6375	0.664596273291925
HES2	0.0375	0.00372670807453416
ESPN	0.0125	0.0422360248447205
TNFRSF25	0.05	0.0173913043478261
PLEKHG5	0.0625	0.0236024844720497
NOL9	0.35	0.42111801242236
ZBTB48	0.1125	0.137888198757764
KLHL21	0.15	0.130434782608696
PHF13	0.1625	0.0993788819875776
THAP3	0.3	0.28695652173913
DNAJC11	0.1625	0.203726708074534
CAMTA1	1.5	1.44472049689441
VAMP3	0.525	0.526708074534161
PER3	0	0.00993788819875776
UTS2	0.075	0.0447204968944099
PARK7	6.0625	6.01490683229814
ERRFI1	0.8875	1.07826086956522
RP11-431K24.1	0.0375	0.0583850931677019
RERE	0.8625	0.952795031055901
ENO1	6.3	6.48944099378882
GPR157	0.1125	0.0993788819875776
MIR34AHG	0.0375	0.0322981366459627
RP3-510D11.2	0.05	0.062111801242236
H6PD	0.0875	0.0906832298136646
SPSB1	0.0625	0.0571428571428571
SLC25A33	0.875	1.13664596273292
TMEM201	0.1125	0.15776397515528
PIK3CD	0.0375	0.0161490683229814
PIK3CD-AS2	0.0375	0.0422360248447205
CLSTN1	0.55	0.624844720496894
CTNNBIP1	0.4	0.402484472049689
LZIC	0.5375	0.628571428571429
NMNAT1	0.1125	0.062111801242236
RBP7	0.1125	0.109316770186335
UBE4B	0.575	0.746583850931677
KIF1B	1.2125	1.79751552795031
PGD	1.1125	1.33416149068323
APITD1-CORT	0.0125	0.0248447204968944
APITD1	0.5	0.454658385093168
DFFA	1.375	1.31304347826087
PEX14	0.1625	0.181366459627329
CASZ1	0.325	0.237267080745342
TARDBP	0.8	0.654658385093168
MASP2	0	0.00496894409937888
RP4-635E18.8	0	0.0062111801242236
SRM	3.3625	2.6832298136646
EXOSC10	0.5875	0.499378881987578
RP4-635E18.6	0.0625	0.0496894409937888
MTOR	0.4875	0.632298136645963
UBIAD1	0.325	0.277018633540373
FBXO44	0.1	0.114285714285714
FBXO6	0.0625	0.108074534161491
MAD2L2	0.7	0.746583850931677
AGTRAP	0.425	0.511801242236025
MTHFR	0.225	0.262111801242236
CLCN6	0.1	0.053416149068323
NPPA-AS1	0	0.0136645962732919
KIAA2013	0.8375	0.658385093167702
PLOD1	0.6125	0.561490683229814
MFN2	0.3625	0.264596273291925
MIIP	0.4125	0.473291925465839
TNFRSF1B	0.275	0.300621118012422
VPS13D	0.2375	0.195031055900621
DHRS3	0.25	0.177639751552795
PRDM2	0.45	0.516770186335404
KAZN	0.1125	0.145341614906832
TMEM51-AS1	0.0375	0.0149068322981366
TMEM51	0.3375	0.335403726708075
