Chr5	Chr9	Chr13	Chr14	Chr20	cancer	ploidy	deathRate	missegregationRate
2	2	2	2	3.696	GBM	3.996	0.01	0.02
2	2	2	2	1.949	GBM	1.949	0.01	0.04
2	2	2	2	1.843	GBM	1.843	0.01	0.06
2	2	2	2	2.055	GBM	2.055	0.01	0.08
2	2	2	2	3.14	GBM	3.14	0.01	0.1
2	2	2	2	3.552	GBM	4.052	0.01	0.12
2	2	2	2	1.921	GBM	1.921	0.01	0.14
2	2	2	2	2.565	GBM	1.965	0.01	0.16
2	2	2	2	2.603	GBM	2.003	0.01	0.18
2	2	2	2	3.052	GBM	2.052	0.01	0.2
2	2	2	2	2.484	GBM	1.884	0.01	0.22
2	2	2	2	2.869	GBM	2.769	0.01	0.24
2	2	2	2	1.637	GBM	1.937	0.01	0.26
2	2	2	2	2.741	GBM	2.141	0.01	0.28
2	2	2	2	3.359	GBM	3.359	0.01	0.3
2	2	2	2	2.298	GBM	2.098	0.01	0.32
2	2	2	2	2.003	GBM	2.003	0.01	0.34
2	2	2	2	1.912	GBM	1.912	0.01	0.36
2	2	2	2	1.709	GBM	1.909	0.01	0.38
2	2	2	2	1.68	GBM	1.78	0.01	0.4
2	2	2	2	1.839	GBM	1.839	0.01	0.42
2	2	2	2	1.972	GBM	2.072	0.01	0.44
2	2	2	2	2.031	GBM	2.031	0.01	0.46
2	2	2	2	2.602	GBM	2.002	0.01	0.48
2	2	2	2	1.999	GBM	1.999	0.01	0.5
2	2	2	2	1.953	GBM	1.953	0.01	0.52
2	2	2	2	1.981	GBM	1.981	0.01	0.54
2	2	2	2	2.385	GBM	2.085	0.01	0.56
2	2	2	2	1.89	GBM	1.89	0.01	0.58
2	2	2	2	3.593	GBM	3.593	0.01	0.6
2	2	2	2	1.73	GBM	1.83	0.01	0.62
2	2	2	2	3.594	GBM	3.594	0.01	0.64
2	2	2	2	2.467	GBM	1.967	0.01	0.66
2	2	2	2	1.885	GBM	1.885	0.01	0.68
2	2	2	2	2.57	GBM	1.97	0.01	0.7
2	2	2	2	1.953	GBM	1.953	0.01	0.72
2	2	2	2	2.092	GBM	2.092	0.01	0.74
2	2	2	2	2.571	GBM	1.971	0.01	0.76
2	2	2	2	2.578	GBM	1.978	0.01	0.78
