2209	2207	2210	2208
1:840001-12760000	3.96973301612477	3.85235640648012	4.03516262279149	4.07388316151203
1:13360001-15040000	3.01019462465246	2.98709122203098	2.98527443105756	3.01549053356282
1:15180001-33480000	2.89305603898364	3.11861667744021	2.95675076557429	3.04185520361991
1:33660001-43880000	5.20997094356935	5.40670264129509	5.24722372833705	5.18403862539051
1:44120001-70960000	3.63879058114969	3.91287267137361	3.71202356970528	3.56558543955771
1:71040001-72800000	2.43828264758497	2.64700996677741	2.51844021611463	2.60299003322259
1:72840001-121500000	3.54307217683154	3.68601649562425	3.49076930610646	3.39268400176289
1:143540001-146020000	4.37123745819398	4.55900621118012	4.98814229249012	5.08074534161491
1:148240001-189140000	3.84647519582245	4.94382693024991	4.81245351689216	4.72032823573293
1:189660001-198860000	3.31890307002415	4.38356822549648	4.2788648820039	3.98142216527867
1:198880001-246260000	3.82094969250932	4.87677089184298	4.79529678612247	4.71260063658491
1:247260001-248900000	3.30769230769231	4.14285714285714	4.1215049041136	4.26086956521739
2:20001-3280000	3.91869522882181	4.06690777576854	4.00882240122746	3.90596745027125
2:3900001-31800000	3.4643957644686	3.39220684632192	3.47922782081559	3.41795858911664
2:32900001-39260000	4.76703296703297	5.15102040816327	5.02796216129549	4.81768707482993
2:39300001-40340000	6.43438914027149	6.03501400560224	6.20657555951674	5.90756302521008
2:40460001-50160000	5.04246794871795	4.87842261904762	4.95347222222222	4.60744047619048
2:51220001-52280000	4.77503628447025	4.58086253369272	4.74042309891366	4.6199460916442
2:52360001-84560000	4.74806597576996	4.60422878828951	4.59761434713996	4.50727387729285
2:84820001-88960000	6.40438034188034	6.05952380952381	6.25645342312009	6.26785714285714
2:91820001-95560000	4.40384615384615	4.05892857142857	4.14242424242424	4.33571428571429
2:96080001-140380000	3.41368470076845	3.23381865359665	3.21518413193489	3.16635433184374
2:141260001-170980000	2.3744226787705	2.37533274179237	2.30806338052715	2.26954549935916
2:171260001-242020000	3.64127731391011	3.60308066644672	3.51544894674225	3.46131639722864
3:40001-1720000	2.77019230769231	2.95267857142857	2.96363636363636	3.01785714285714
3:1800001-3680000	2.59328968903437	2.94376899696049	2.86793466580701	2.89057750759878
3:3720001-28120000	3.58395989974937	3.42534908700322	3.48685687282179	3.50459482038429
3:28620001-88940000	2.55914004660618	2.32540468833896	2.37590998090742	2.42259451678655
3:89120001-91320000	1.0574358974359	1.0152380952381	1.10316498316498	1.02666666666667
3:93800001-95060000	2.40198511166253	2.213133640553	2.26588465298143	2.04838709677419
3:96040001-99800000	2.10367892976589	1.99378881987578	2.07185990338164	2.0388198757764
3:100340001-101420000	2.71843251088534	2.57008086253369	2.51724795121022	2.88679245283019
3:101580001-112820000	3.13860268172195	3.10537352555701	3.07515522194421	3.09384010484928
3:112940001-162780000	2.39260780287474	2.204224112643	2.25725011926244	2.21783514227046
3:162880001-164420000	1.91476091476091	1.83783783783784	2.05528255528256	1.97683397683398
3:164720001-171740000	3.56604619869926	3.3987921699292	3.50758311982802	3.49729279466889
3:171920001-184880000	2.39508847959552	2.31868991728147	2.26803243704652	2.21998658618377
3:185020001-187980000	3.61159263271939	3.28822937625755	3.29641485275288	3.20824949698189
3:188000001-189400000	3.17582417582418	3.18571428571429	3.02857142857143	3.06734693877551
3:189620001-193580000	2.12820512820513	2.21684981684982	2.20497280497281	2.18901098901099
3:193820001-198080000	4.25059476605868	4.25920471281296	4.14682911590128	4.11782032400589
4:60001-3020000	4.00477453580902	4.06847290640394	3.98244514106583	4.17733990147783
4:3400001-49040000	2.20246235703226	2.17020452004296	2.1687731280341	2.1652670058166
4:51920001-90200000	3.29145734005008	3.20806651366788	3.1933335230027	3.18945128020201
4:93740001-152940000	2.27376443853157	2.22523708637835	2.19329578318506	2.16748633997183
4:153540001-189980000	3.2426481935025	3.30755581941983	3.27651272641952	2.97222967345407
5:1060001-46320000	4.28240642091058	4.33610341643583	4.20506542805712	4.16989843028624
5:50360001-164980000	3.33547684259016	3.49859372112777	3.44858793614714	3.34833252263234
5:166460001-175880000	5.00858369098713	5.17397302268547	5.00379329778471	4.94665849172287
