2157	2158
1:840001-25880000	3.40371089107202	3.76399320737838
1:25980001-27180000	2.44642857142857	2.63504566210046
1:27280001-90500000	3.18839082594364	3.23659853709137
1:90660001-121560000	1.65326047170141	1.55806070743626
1:147000001-150440000	3.30380333951763	3.52855363814268
1:150780001-219540000	3.16293974150475	3.14631023416532
1:219780001-248900000	1.78911746564555	1.57773153544916
2:1-50580000	1.34531646674086	1.60058082068801
2:50760001-242040000	2.85173781375993	3.05274752539101
3:1-197920000	3.07672131867161	3.08783296041134
4:100001-25880000	1.69690275803877	1.54595281873293
4:26040001-27640000	2.72773654916512	2.91131471268458
4:27800001-44700000	1.64608843537415	1.44240867579909
4:44840001-46700000	2.51804915514593	2.43688319340109
4:47280001-102040000	1.18673436051717	1.4963158300972
4:102240001-104040000	2.7637987012987	3.12585616438356
4:104180001-105980000	4.00862068965517	3.98889938592348
4:107120001-180080000	1.75632745327574	2.83310044242821
4:180220001-181760000	0.507518796992481	1.33588680605624
4:181920001-188120000	1.58325526932084	3.23069840556928
4:188120001-1.9e+08	1.39845094664372	2.58516256808054
5:100001-35460000	4.3971763795771	4.26646802828742
5:35640001-55740000	3.25226264418811	2.94306134603931
5:55880001-58960000	4.48428571428571	4.6972602739726
5:59160001-69500000	3.34833533284785	3.14410545361559
5:71840001-72860000	3.55602240896359	3.41136180499597
5:74000001-181260000	3.21224139757198	3.01617241795125
6:140001-67580000	3.26144055293462	3.16311049689707
6:67780001-72400000	1.55325537294564	1.34031397745181
6:72580001-7.5e+07	2.73559423769508	3.11966156325544
6:76220001-77980000	3.42219387755102	3.70735485975212
6:78180001-139780000	1.50949050949051	1.42150999685246
6:139900001-142420000	3.78866587957497	4.10738141061927
6:142560001-147600000	2.617	2.93687671232877
6:148000001-170520000	1.57322885639009	1.52920827648415
7:120001-7400000	3.14695047073271	3.67912234564509
7:8360001-9700000	2.83296703296703	2.5886195995785
7:9840001-55720000	4.04606703650437	4.61121034689065
7:56420001-64680000	3.90521978021978	3.98823322795926
7:65780001-66780000	7.0131195335277	9.38579815487839
7:66960001-68700000	5.696875	5.95402397260274
7:69140001-70500000	1.59632034632035	1.40639269406393
7:70640001-113580000	2.95569904558028	3.11376522469422
7:114920001-1.16e+08	14.3955525606469	13.4972861204446
7:122460001-123800000	2.69372294372294	2.81257783312578
7:123940001-150760000	1.49453582694908	1.57816213646774
7:150920001-159200000	3.09569597069597	3.47383210396909
8:260001-89200000	1.52748865323368	1.44874800756661
8:89380001-144900000	3.28706149619611	3.0940691618708
9:240001-20960000	1.50398336099927	1.49485300378355
9:21020001-22200000	0.0714285714285714	0.0205479452054795
9:22260001-125880000	1.55278132798374	1.56492676046133
9:126040001-133660000	3.74706328154604	3.92158715162966
9:133880001-138040000	5.63719943422914	5.61501424115014
10:100001-8460000	1.52535977535977	1.64274174548147
10:8640001-133480000	3.12754490096322	3.15314937602027
11:260001-24060000	1.48208031023267	1.63303984837944
11:24140001-25200000	5.6218487394958	5.06432984152565
11:25260001-26600000	7.18791208791209	6.14699683877766
11:28640001-29760000	3.12012987012987	2.5920298879203
11:29920001-65380000	3.22173459881255	3.19689795274514
11:65580001-76020000	5.56655844155844	5.79728193188586
11:79340001-80980000	1.39153439153439	1.38136309825808
11:83400001-85440000	4.64035714285714	3.93712328767123
11:90580001-92300000	11.360119047619	9.55430528375734
11:93820001-95120000	6.92857142857143	6.69982604914112
11:97440001-98960000	6.48496240601504	5.97701874549387
11:99040001-114680000	1.44638170228721	1.45911084744544
11:114760001-135040000	4.17840438194811	4.75375081275224
12:60001-34560000	4.9239706718438	4.6506142791277
12:37340001-64260000	3.37962457710357	3.3263287880532
12:64440001-66720000	5.16071428571429	5.13592777085928
12:67740001-74620000	6.60281385281385	6.14290161892902
12:74740001-77540000	3.37877997914494	3.25307469253075
12:80680001-115140000	1.71325731114116	1.61481450337201
12:115340001-133240000	3.38008460787504	3.43660092988423
13:18680001-82260000	2.97307283728234	2.76473831763283
13:82800001-91100000	2.7466654966655	2.33470768402275
13:91460001-94280000	4.02398331595412	3.55264473552645
13:94280001-102700000	4.54194050501556	4.58623834953066
13:102820001-105120000	2.69378881987578	2.54639666468136
13:105300001-114320000	4.53462441314554	4.59899350440543
14:20000001-60140000	2.86748235534723	3.02034757834862
14:60260001-61800000	3.98380952380952	4.27552511415525
14:61940001-106860000	3.00332148190365	3.26204586485884
15:17000001-19940000	2.77232142857143	2.74914383561644
15:22780001-41440000	2.94908627657705	3.03603262060018
15:41660001-60440000	2.22467604298356	1.70355497636077
15:60640001-101820000	3.85316455696203	3.46514305531472
16:320001-5780000	1.74423076923077	1.920468914647
16:7300001-74620000	3.10230820416517	3.28638661261226
