2170	2169
1:12780001-26360000	5.15277777777778	5.41538461538462
1:44400001-83120000	3.97222222222222	3.98461538461538
1:83500001-248900000	4	4
2:91820001-241940000	4	4
3:80001-60040000	3	2.98461538461538
3:60040001-197980000	3	3
4:100001-49060000	2	2
4:68600001-189940000	3	2.96923076923077
5:74140001-181200000	3	3
6:220001-170500000	4	4
8:64800001-91380000	2.93055555555556	2.96923076923077
9:24580001-138060000	2.97222222222222	3
10:42080001-75440000	3.69444444444444	3.6
11:180001-34640000	2.97222222222222	2.98461538461538
11:55580001-134900000	4	4
12:100001-27460000	2	2
13:18680001-114240000	4	3.01538461538462
14:19960001-106860000	5	5
15:22800001-101700000	4	4
17:26920001-83080000	3.93055555555556	3.95384615384615
18:20980001-80140000	3.98611111111111	4
19:280001-24300000	4	4
20:31140001-64220000	4.20833333333333	4.52307692307692
RP11-34P13.7	0	0.0461538461538462
FO538757.2	0.430555555555556	0.476923076923077
AP006222.2	0.152777777777778	0.184615384615385
RP11-206L10.9	0.305555555555556	0.107692307692308
LINC00115	0.0972222222222222	0.123076923076923
FAM41C	0.0277777777777778	0
RP11-54O7.1	0.138888888888889	0.138461538461538
RP11-54O7.2	0.0138888888888889	0.0153846153846154
NOC2L	2.52777777777778	2.07692307692308
KLHL17	0.0277777777777778	0.0923076923076923
PLEKHN1	0.0972222222222222	0.169230769230769
RP11-54O7.17	0.0694444444444444	0.0307692307692308
HES4	4.95833333333333	4.24615384615385
ISG15	1.84722222222222	2
AGRN	0.694444444444444	0.661538461538462
RNF223	0.472222222222222	0.8
C1orf159	0.152777777777778	0.215384615384615
LINC01342	0.0138888888888889	0.0307692307692308
RP11-465B22.8	0.111111111111111	0.169230769230769
TTLL10	0	0.0153846153846154
TNFRSF18	0.0138888888888889	0.0153846153846154
SDF4	3.84722222222222	3.4
B3GALT6	0.75	0.923076923076923
FAM132A	0.0416666666666667	0.0153846153846154
UBE2J2	1.88888888888889	2.03076923076923
ACAP3	0.388888888888889	0.446153846153846
PUSL1	1.02777777777778	0.876923076923077
CPSF3L	0.930555555555556	1.01538461538462
CPTP	0.402777777777778	0.584615384615385
TAS1R3	0.0555555555555556	0.0461538461538462
DVL1	1.625	0.861538461538462
AURKAIP1	10.4166666666667	10.0461538461538
CCNL2	1.36111111111111	1.4
MRPL20	7.38888888888889	7.38461538461539
RP4-758J18.13	0.0416666666666667	0
ANKRD65	0.166666666666667	0.0307692307692308
VWA1	0.708333333333333	0.630769230769231
ATAD3C	0.138888888888889	0.0153846153846154
ATAD3B	0.777777777777778	0.6
ATAD3A	1.61111111111111	1.21538461538462
TMEM240	0.0416666666666667	0.0153846153846154
SSU72	12.8055555555556	13.0153846153846
RP5-832C2.5	0.0555555555555556	0.0307692307692308
C1orf233	0.277777777777778	0.338461538461538
RP11-345P4.9	0.347222222222222	0.230769230769231
MIB2	1	0.830769230769231
MMP23B	0.0555555555555556	0.0615384615384615
CDK11B	1.56944444444444	1.78461538461538
RP11-345P4.10	0.0416666666666667	0.123076923076923
SLC35E2B	1.15277777777778	1.07692307692308
CDK11A	1.01388888888889	0.769230769230769
SLC35E2	0.125	0.0461538461538462
NADK	2.01388888888889	2.15384615384615
GNB1	7.22222222222222	5.21538461538462
RP1-140A9.1	0.0138888888888889	0
TMEM52	1.08333333333333	1.43076923076923
CFAP74	0.236111111111111	0.0923076923076923
PRKCZ	0.5	0.523076923076923
RP5-892K4.1	0	0.0307692307692308
RP11-181G12.2	0.0416666666666667	0.0153846153846154
FAAP20	3.66666666666667	3.43076923076923
SKI	0.611111111111111	0.430769230769231
MORN1	0.0694444444444444	0.153846153846154
RER1	4.54166666666667	4.6
PEX10	0.666666666666667	1.03076923076923
PANK4	0.111111111111111	0.123076923076923
HES5	0.138888888888889	0.138461538461538
RP3-395M20.12	0.472222222222222	0.476923076923077
RP3-395M20.8	0.166666666666667	0.230769230769231
TNFRSF14	0.569444444444444	0.815384615384615
RP3-395M20.9	0.208333333333333	0.153846153846154
FAM213B	1.5	1.70769230769231
MMEL1	0.680555555555556	0.492307692307692
TTC34	0.0277777777777778	0
ARHGEF16	0.513888888888889	0.707692307692308
RP11-168F9.2	0.0416666666666667	0.0461538461538462
MEGF6	0	0.0153846153846154
TPRG1L	0.680555555555556	0.6
WRAP73	0.763888888888889	0.569230769230769
TP73-AS1	0.0416666666666667	0.0461538461538462
