2170	2169
1:840001-12760000	4.95652173913043	5.84210526315789
1:12780001-26360000	5	5.94736842105263
1:27100001-38520000	4.95652173913043	5.84210526315789
1:38540001-39620000	4.79163248564397	4.55312810327706
1:39620001-44280000	4.87507119802544	5.83337163870375
1:44400001-83120000	4	3.89473684210526
1:83500001-248900000	4	4
2:1-32840000	4	3.94736842105263
2:32900001-88960000	4	3.94736842105263
2:91820001-241940000	4	4
3:80001-60040000	2.8695652173913	3
3:60040001-197980000	3	3
4:100001-49060000	2	2
4:51800001-68480000	2.95652173913043	2.94736842105263
4:68600001-189940000	3	3
5:100001-12820000	4.91304347826087	4.68421052631579
5:12820001-46340000	4.91304347826087	4.89473684210526
5:50260001-67340000	3	3
5:67360001-72480000	3	3
5:72480001-74080000	3.01761144744084	3
5:74140001-181200000	3	3
6:220001-170500000	4	4
7:100001-65740000	5.95652173913043	6
7:65780001-151980000	5.95652173913043	5.10526315789474
7:152260001-159160000	6	5.21052631578947
8:260001-54480000	2.95652173913043	3
8:54580001-56760000	6.11567610690068	6.67117334620956
8:56800001-58140000	4.80434782608696	5.1140350877193
8:58200001-62260000	3.07519964507542	3.06203007518797
8:62320001-64720000	4.59670164917541	4.59301270417423
8:64800001-91380000	2.95652173913043	3
8:91440001-93620000	4.78175618073316	4.84158926728586
8:93740001-95460000	6.44654731457801	6.58018575851393
8:95620001-97480000	5.00614366729679	5.30205949656751
8:98600001-100220000	6.87892129884425	6.92071952031979
8:100260001-102360000	6.62419285406802	6.84262636789995
8:102680001-108740000	5.60869565217391	5.36842105263158
8:108820001-120300000	3.69565217391304	3.52631578947368
8:120360001-122840000	5.02371541501976	4.9643323183993
8:122920001-124180000	8.03506311360449	8.76485568760611
8:124540001-126480000	3.14569842738205	3.29955207166853
8:129140001-145060000	3	3
9:180001-20880000	3	3
9:21000001-24500000	0	0
9:24580001-138060000	3	3
10:80001-38040000	3.43478260869565	4
10:38100001-41820000	3.82274247491639	4.05263157894737
10:42080001-75440000	3.60869565217391	4
10:75520001-120280000	3.08695652173913	3
10:121920001-133600000	3.08695652173913	3
11:180001-34640000	3	3
11:35380001-37900000	4.04663394109397	5.44100169779287
11:38440001-41300000	3.92559706062462	4.95033358042995
11:42200001-43900000	4	5.0424857324033
11:44240001-55580000	4.04347826086957	5.05263157894737
11:55580001-134900000	4	4
12:100001-27460000	2	2
12:27600001-28740000	5.72997711670481	5.40812557710065
12:30420001-62440000	4	4.94736842105263
12:62620001-68140000	2	3.15789473684211
12:68360001-69540000	3.38835666912307	4.70205173951829
12:69700001-88920000	2	3
12:89060001-94880000	3.95652173913043	5.05263157894737
12:95060001-102100000	2	3.05263157894737
12:102220001-114820000	3.95652173913043	5.10526315789474
12:115560001-133140000	3.95652173913043	5
13:18680001-114240000	4	3.10526315789474
14:19960001-106860000	4.95652173913043	4.89473684210526
15:17000001-19940000	4.98136645962733	4.89473684210526
15:22800001-101700000	4.04347826086957	4
16:100001-31920000	3.08695652173913	3
16:34760001-36100000	4.76923076923077	4.39271255060729
16:46400001-47780000	4.95652173913043	4.96622152395915
16:50300001-51540000	3.61009817671809	3.48726655348048
16:51540001-54900000	3.80968497787035	3.75512133627482
16:54900001-58140000	3.27262783702488	3.35286329030122
16:58160001-65740000	4	3.84210526315789
16:66140001-71800000	5.73913043478261	6.05263157894737
16:72340001-76480000	4.95248767368893	4.99810092240912
16:76480001-78680000	4.80158102766798	4.64688995215311
16:78700001-81620000	4.90944527736132	4.86279491833031
16:81840001-83280000	3.79485609308022	4.04447739065975
16:83660001-86740000	4.1183414915059	4.19031021261764
16:86740001-89960000	4.85461091110496	4.58799865906805
17:180001-22100000	2	2
17:26920001-83080000	3.91304347826087	3.94736842105263
18:200001-15180000	4	3.94736842105263
18:20980001-80140000	4	4
19:280001-24300000	3.95652173913043	3.94736842105263
19:24300001-27320000	4.43478260869565	5.95321637426901
19:27380001-58540000	3.95652173913043	4.89473684210526
20:40001-29320000	4	4.78947368421053
20:29320001-30740000	4.39838220424671	5.1468788249694
20:31140001-64220000	4	4.78947368421053
21:13280001-46620000	2.95652173913043	3
22:16080001-50640000	3.78260869565217	3.68421052631579
